Entity,Code,Year,4_0_RichestShare
Bulgaria,BGR,2006,26.55836730643767
Bulgaria,BGR,2007,22.15735178702815
Bulgaria,BGR,2008,25.6733525419497
Bulgaria,BGR,2009,25.688491822159087
Bulgaria,BGR,2010,26.907830517712778
Bulgaria,BGR,2011,26.03113801097094
Bulgaria,BGR,2012,27.38168966317624
Bulgaria,BGR,2013,27.57912435009614
Bulgaria,BGR,2014,28.803315809233336
Bulgaria,BGR,2015,28.7362005290648
Bulgaria,BGR,2016,31.43963824156439
Bulgaria,BGR,2017,31.88040592085327
Bulgaria,BGR,2018,32.619347932343764
Bulgaria,BGR,2019,31.40421367500442
Croatia,HRV,1998,22.48067581957292
Croatia,HRV,1999,22.84109366904203
Croatia,HRV,2000,25.05818244821525
Croatia,HRV,2001,24.586050664010138
Croatia,HRV,2004,23.59093352697368
Croatia,HRV,2008,27.87738464903772
Croatia,HRV,2009,26.73993095132829
Croatia,HRV,2010,22.49222175176519
Croatia,HRV,2011,23.72699378196743
Croatia,HRV,2012,23.86571014789696
Croatia,HRV,2013,23.70085805213776
Croatia,HRV,2014,23.97025096856995
Croatia,HRV,2015,23.232423729639002
Croatia,HRV,2016,23.20623102341344
Croatia,HRV,2017,22.850688800004377
Croatia,HRV,2018,22.724884373013808
Croatia,HRV,2019,22.23529989187538
Cyprus,CYP,2004,24.290686930847517
Cyprus,CYP,2005,24.86584005530173
Cyprus,CYP,2006,26.027033256644
Cyprus,CYP,2007,25.466179377930843
Cyprus,CYP,2008,26.20807018817841
Cyprus,CYP,2009,26.1850479646614
Cyprus,CYP,2010,25.69694932491095
Cyprus,CYP,2011,26.69864648796178
Cyprus,CYP,2012,28.04389909364246
Cyprus,CYP,2013,30.871246154523853
Cyprus,CYP,2014,28.829841916675907
Cyprus,CYP,2015,27.45687636520525
Cyprus,CYP,2016,26.81229638366287
Cyprus,CYP,2017,25.483544124059733
Cyprus,CYP,2018,27.18368038667476
Cyprus,CYP,2019,25.48900503110646
Czechia,CZE,1992,19.577514423221988
Czechia,CZE,1993,23.6318321856176
Czechia,CZE,1996,22.13857611299726
Czechia,CZE,2002,22.544280788299968
Czechia,CZE,2004,23.1065447179528
Czechia,CZE,2005,22.939408842081168
Czechia,CZE,2006,22.62029158107238
Czechia,CZE,2007,22.32055544861242
Czechia,CZE,2008,22.8844894738065
Czechia,CZE,2009,22.367714273757542
Czechia,CZE,2010,22.44896853426787
Czechia,CZE,2011,22.23894702512456
Czechia,CZE,2012,22.169315065690327
Czechia,CZE,2013,22.59282068671595
Czechia,CZE,2014,22.14519935683152
Czechia,CZE,2015,22.1298756988746
Czechia,CZE,2016,21.93964933972254
Czechia,CZE,2017,21.45550682078294
Czechia,CZE,2018,21.51091414005839
Czechia,CZE,2019,21.49172529578608
Denmark,DNK,1987,21.61107947833509
Denmark,DNK,1992,20.517956932746408
Denmark,DNK,1995,19.80455622634153
Denmark,DNK,2000,20.14654695861713
Denmark,DNK,2003,21.38372768942357
Denmark,DNK,2004,20.65321460731031
Denmark,DNK,2005,20.96280121730369
Denmark,DNK,2006,21.75876706484832
Denmark,DNK,2007,22.10770802051967
Denmark,DNK,2008,21.04300539565673
Denmark,DNK,2009,21.77958432327182
Denmark,DNK,2010,22.53283266380092
Denmark,DNK,2011,22.713124974654338
Denmark,DNK,2012,23.13577231154721
Denmark,DNK,2013,23.68780710476589
Denmark,DNK,2014,23.56351371057619
Denmark,DNK,2015,23.83117072539645
Denmark,DNK,2016,23.67254640419713
Denmark,DNK,2017,24.040750713579882
Denmark,DNK,2018,23.50736170328152
Denmark,DNK,2019,23.51792244501811
Estonia,EST,1993,31.34571703799946
Estonia,EST,1995,22.71059037625685
Estonia,EST,1998,29.76387526634823
Estonia,EST,2000,27.63384342297891
Estonia,EST,2001,27.89887380758091
Estonia,EST,2002,27.31359196660657
Estonia,EST,2003,26.83854198082134
Estonia,EST,2004,27.37634582421019
Estonia,EST,2005,26.16935377453039
Estonia,EST,2006,26.858711189888968
Estonia,EST,2007,24.03048099528659
Estonia,EST,2008,24.930637344653462
Estonia,EST,2009,24.42515059468964
Estonia,EST,2010,24.28198910732216
Estonia,EST,2011,24.75652995580943
Estonia,EST,2012,25.18819585657093
Estonia,EST,2013,26.608950056325583
