Entity,Code,Year,3_0_Energy_intensity
Estonia,EST,2012,1.666668
Estonia,EST,2013,1.8166681094036103
Estonia,EST,2014,1.6722235547018052
Estonia,EST,2015,1.5527790623855593
Estonia,EST,2016,1.6500013358945849
Estonia,EST,2017,1.4888901170873643
Estonia,EST,2018,1.5388901094036103
Estonia,EST,2019,1.2472231564216616
Finland,FIN,2000,1.825001507683754
Finland,FIN,2001,1.825001507683754
Finland,FIN,2002,1.8861126094036105
Finland,FIN,2003,1.9500015547018053
Finland,FIN,2004,1.8972237188072207
Finland,FIN,2005,1.7027791717891694
Finland,FIN,2006,1.780556937614441
Finland,FIN,2007,1.666668
Finland,FIN,2008,1.5861123905963899
Finland,FIN,2009,1.6277791170873643
Finland,FIN,2010,1.7277791017198565
Finland,FIN,2011,1.6194457188072207
Finland,FIN,2012,1.5861123905963899
Finland,FIN,2013,1.5750012811927796
Finland,FIN,2014,1.6138901641054155
Finland,FIN,2015,1.5277790000000002
Finland,FIN,2016,1.541667952981949
Finland,FIN,2017,1.4833345623855592
Finland,FIN,2018,1.4916678282108309
Finland,FIN,2019,1.4416678358945847
France,FRA,2000,1.2111121170873642
France,FRA,2001,1.2277787811927796
France,FRA,2002,1.2166676717891693
France,FRA,2003,1.2361120470180513
France,FRA,2004,1.219445382912636
France,FRA,2005,1.205556562385559
France,FRA,2006,1.1583342811927797
France,FRA,2007,1.1166675547018052
France,FRA,2008,1.1194453982801438
France,FRA,2009,1.1027786679472924
France,FRA,2010,1.1166675547018052
France,FRA,2011,1.0694452735090256
France,FRA,2012,1.066667496158123
France,FRA,2013,1.0638897188072205
France,FRA,2014,1.0138897264909745
France,FRA,2015,1.016667503841877
France,FRA,2016,0.9888896641054155
France,FRA,2017,0.9638896679472924
France,FRA,2018,0.9444452264909745
France,FRA,2019,0.9138896094036103
Germany,DEU,2000,1.111112
Germany,DEU,2001,1.125000952981949
Germany,DEU,2002,1.1027786679472924
Germany,DEU,2003,1.1083342226490975
Germany,DEU,2004,1.1027786679472924
Germany,DEU,2005,1.0888897811927796
Germany,DEU,2006,1.0805564491400719
Germany,DEU,2007,0.9944452188072206
Germany,DEU,2008,0.9972229961581232
Germany,DEU,2009,0.9888896641054155
Germany,DEU,2010,1.0000007735090257
Germany,DEU,2011,0.9111118320527077
Germany,DEU,2012,0.9138896094036103
Germany,DEU,2013,0.9305562735090257
Germany,DEU,2014,0.8694451717891694
Germany,DEU,2015,0.8611117735090257
Germany,DEU,2016,0.8444451094036103
Germany,DEU,2017,0.827778445298195
Germany,DEU,2018,0.7972228282108308
Germany,DEU,2019,0.7666672773509027
Greece,GRC,2000,1.0000007735090257
Greece,GRC,2001,0.9944452188072206
Greece,GRC,2002,0.9666674452981949
Greece,GRC,2003,0.9416674491400719
Greece,GRC,2004,0.9138896094036103
Greece,GRC,2005,0.9250007188072206
