Entity,Code,Year,2_1_GDPPC_Growth
abc,DNK,1988,-23.9922
abc,DNK,1989,225.52
abc,DNK,1990,508.312
abc,DNK,1991,444.367
abc,DNK,1992,643.949
abc,DNK,1993,-130.02
abc,DNK,1994,2003.56
abc,DNK,1995,1053.15
abc,DNK,1996,1004.54
abc,DNK,1997,1255.29
abc,DNK,1998,841.961
abc,DNK,1999,1210.4
abc,DNK,2000,1619.49
abc,DNK,2001,227.758
abc,DNK,2002,72.168
abc,DNK,2003,58.1406
abc,DNK,2004,1192
abc,DNK,2005,1043.83
abc,DNK,2006,1851.61
abc,DNK,2007,248.43
abc,DNK,2008,-590.512
abc,DNK,2009,-2888.12
abc,DNK,2010,716.23
abc,DNK,2011,471
abc,DNK,2012,-77.4258
abc,DNK,2013,264.758
abc,DNK,2014,572.969
abc,DNK,2015,850.09
abc,DNK,2016,1301.21
abc,DNK,2017,1179.7
abc,DNK,2018,827.723
abc,DNK,2019,989.645
abc,DNK,2020,-1350.97
abc,EST,1996,464.138
abc,EST,1997,1090.63
abc,EST,1998,464.768
abc,EST,1999,-65.7314
abc,EST,2000,868.806
abc,EST,2001,665.44
abc,EST,2002,791.589
abc,EST,2003,945.08
abc,EST,2004,920.298
abc,EST,2005,1348.84
abc,EST,2006,1523.82
abc,EST,2007,1303.89
abc,EST,2008,-851.529
abc,EST,2009,-2402.17
abc,EST,2010,380.444
abc,EST,2011,1106.95
abc,EST,2012,564.684
abc,EST,2013,295.91
abc,EST,2014,543.262
abc,EST,2015,305.393
abc,EST,2016,543.908
abc,EST,2017,1016.46
abc,EST,2018,715.268
abc,EST,2019,730.758
abc,EST,2020,-641.357
abc,FIN,1961,782.4
abc,FIN,1962,278.83
abc,FIN,1963,319.339
abc,FIN,1964,596.095
abc,FIN,1965,663.717
abc,FIN,1966,279.885
abc,FIN,1967,231.973
abc,FIN,1968,268.956
abc,FIN,1969,1433.71
abc,FIN,1970,848.433
abc,FIN,1971,381.596
abc,FIN,1972,1242.55
abc,FIN,1973,1196.05
abc,FIN,1974,538.111
abc,FIN,1975,277.398
abc,FIN,1976,8.79297
abc,FIN,1977,-8.41406
abc,FIN,1978,544.996
abc,FIN,1979,1459.39
abc,FIN,1980,1152.51
abc,FIN,1981,211.627
abc,FIN,1982,611.055
abc,FIN,1983,619.559
abc,FIN,1984,681.658
abc,FIN,1985,812.08
abc,FIN,1986,650.605
abc,FIN,1987,902.676
abc,FIN,1988,1395.47
abc,FIN,1989,1403.41
abc,FIN,1990,70.1934
abc,FIN,1991,-2001.59
abc,FIN,1992,-1123.27
abc,FIN,1993,-321.387
abc,FIN,1994,978.6
abc,FIN,1995,1100.6
abc,FIN,1996,995.402
abc,FIN,1997,1860.08
abc,FIN,1998,1696.61
abc,FIN,1999,1426.01
abc,FIN,2000,1993.39
abc,FIN,2001,900.383
abc,FIN,2002,566.617
abc,FIN,2003,692.914
abc,FIN,2004,1477.87
abc,FIN,2005,1008.45
abc,FIN,2006,1543.41
abc,FIN,2007,2138.61
abc,FIN,2008,145.98
abc,FIN,2009,-3946.52
abc,FIN,2010,1151.47
abc,FIN,2011,903.246
abc,FIN,2012,-829.566
abc,FIN,2013,-592.254
abc,FIN,2014,-334.074
abc,FIN,2015,90.9844
abc,FIN,2016,1077.06
abc,FIN,2017,1294.66
abc,FIN,2018,455.297
abc,FIN,2019,506.152
abc,FIN,2020,-1356.21
abc,FRA,1961,402.898
abc,FRA,1962,620.854
abc,FRA,1963,579.713
abc,FRA,1964,670.735
abc,FRA,1965,487.588
abc,FRA,1966,582.701
abc,FRA,1967,580.915
abc,FRA,1968,555.016
abc,FRA,1969,987.47
abc,FRA,1970,882.172
abc,FRA,1971,786.068
abc,FRA,1972,673.225
abc,FRA,1973,1047.24
abc,FRA,1974,711.697
abc,FRA,1975,-328.328
abc,FRA,1976,776.07
abc,FRA,1977,634.467
abc,FRA,1978,775.375
abc,FRA,1979,706.385
abc,FRA,1980,263.082
abc,FRA,1981,136.471
abc,FRA,1982,468.084
abc,FRA,1983,166.816
abc,FRA,1984,230.799
abc,FRA,1985,259.039
abc,FRA,1986,437.049
abc,FRA,1987,499.713
abc,FRA,1988,1070.32
abc,FRA,1989,1014.56
abc,FRA,1990,668.971
abc,FRA,1991,139.705
abc,FRA,1992,313.979
abc,FRA,1993,-306.662
abc,FRA,1994,567.107
abc,FRA,1995,508.299
abc,FRA,1996,313.689
abc,FRA,1997,593.658
abc,FRA,1998,983.213
abc,FRA,1999,914.518
abc,FRA,2000,1046.28
abc,FRA,2001,418.016
abc,FRA,2002,136.984
abc,FRA,2003,37.9375
abc,FRA,2004,709.57
abc,FRA,2005,314.02
abc,FRA,2006,611.855
abc,FRA,2007,642.348
abc,FRA,2008,-110.773
abc,FRA,2009,-1225.88
abc,FRA,2010,508.355
abc,FRA,2011,605.738
abc,FRA,2012,-62.0547
abc,FRA,2013,21.6797
abc,FRA,2014,173.449
abc,FRA,2015,274.305
abc,FRA,2016,303.875
abc,FRA,2017,737.285
abc,FRA,2018,597.785
abc,FRA,2019,620.465
abc,FRA,2020,-3126.36
abc,DEU,1971,526.746
abc,DEU,1972,700.455
abc,DEU,1973,850.527
abc,DEU,1974,169.914
abc,DEU,1975,-99.9922
abc,DEU,1976,1082.31
abc,DEU,1977,756.553
abc,DEU,1978,677.906
abc,DEU,1979,925.885
abc,DEU,1980,281.508
abc,DEU,1981,89.418
abc,DEU,1982,-71.5801
abc,DEU,1983,437.395
abc,DEU,1984,769.994
abc,DEU,1985,638.998
