Entity,Code,Year,1_1_agri_land_pc
Greece,GRC,1994,0.861441421654533
Greece,GRC,1995,0.8528218734851221
Greece,GRC,1996,0.8467393472813916
Greece,GRC,1997,0.8238390127795449
Greece,GRC,1998,0.8005381162158558
Greece,GRC,1999,0.7861877601356559
Greece,GRC,2000,0.7696191986648023
Greece,GRC,2001,0.7578277054731991
Greece,GRC,2002,0.7460894690316531
Greece,GRC,2003,0.7355455319798297
Greece,GRC,2004,0.7191816424969417
Greece,GRC,2005,0.7131535901202971
Greece,GRC,2006,0.7029807528286416
Greece,GRC,2007,0.6971897847173625
Greece,GRC,2008,0.6935494287342864
Greece,GRC,2009,0.6898268425128968
Greece,GRC,2010,0.6878443871705128
Greece,GRC,2011,0.6829759021981463
Greece,GRC,2012,0.6755324699416805
Greece,GRC,2013,0.6659838927424235
Greece,GRC,2014,0.5794538612315931
Greece,GRC,2015,0.5815333380238749
Greece,GRC,2016,0.5780398551697403
Greece,GRC,2017,0.5773242694747598
Greece,GRC,2018,0.5800662710223654
Hungary,HUN,1961,0.7061476619264482
Hungary,HUN,1962,0.6968443742388203
Hungary,HUN,1963,0.691692793321718
Hungary,HUN,1964,0.6887420041928489
Hungary,HUN,1965,0.6836909952694247
Hungary,HUN,1966,0.6785703335162903
Hungary,HUN,1967,0.6746218838986862
Hungary,HUN,1968,0.6708607367747722
Hungary,HUN,1969,0.6668374421091581
Hungary,HUN,1970,0.6632192130023765
Hungary,HUN,1971,0.6592506815382593
Hungary,HUN,1972,0.6566222453948682
Hungary,HUN,1973,0.6538382986620469
Hungary,HUN,1974,0.6467558309825414
Hungary,HUN,1975,0.6431216383357493
Hungary,HUN,1976,0.6387815560877528
Hungary,HUN,1977,0.6326292273762895
Hungary,HUN,1978,0.6263721763571529
Hungary,HUN,1979,0.6195332086007715
Hungary,HUN,1980,0.6162194310249886
Hungary,HUN,1981,0.6142475848605697
Hungary,HUN,1982,0.6142304943323659
Hungary,HUN,1983,0.6158846309650409
Hungary,HUN,1984,0.6173267434912247
Hungary,HUN,1985,0.6188529349329942
Hungary,HUN,1986,0.62009882605206
Hungary,HUN,1987,0.621602001346502
Hungary,HUN,1988,0.6226434641172115
Hungary,HUN,1989,0.6233647970401517
Hungary,HUN,1990,0.6238714975045622
Hungary,HUN,1991,0.6233686630257176
Hungary,HUN,1992,0.5923569541461077
Hungary,HUN,1993,0.5917521907863121
Hungary,HUN,1994,0.5910640804410987
Hungary,HUN,1995,0.5970450954083667
Hungary,HUN,1996,0.5985026014635634
Hungary,HUN,1997,0.6009615384615384
Hungary,HUN,1998,0.6024552312433885
Hungary,HUN,1999,0.6035465825565086
Hungary,HUN,2000,0.5727700201173973
Hungary,HUN,2001,0.5753695339035885
Hungary,HUN,2002,0.5752766004447796
Hungary,HUN,2003,0.5783258270946784
Hungary,HUN,2004,0.5797628746114482
Hungary,HUN,2005,0.5813044439996007
Hungary,HUN,2006,0.5776850096159841
Hungary,HUN,2007,0.5793010459042459
Hungary,HUN,2008,0.5794712839952734
Hungary,HUN,2009,0.5806551955386242
Hungary,HUN,2010,0.5382090120545522
Hungary,HUN,2011,0.5393262514551804
Hungary,HUN,2012,0.5411401329919291
Hungary,HUN,2013,0.5345781129260417
Hungary,HUN,2014,0.5368694372080505
Hungary,HUN,2015,0.5383556405588384
Hungary,HUN,2016,0.5415783389170996
Hungary,HUN,2017,0.5450253308821753
Hungary,HUN,2018,0.5455576147883199
Ireland,IRL,1961,2.0225703067313936
Ireland,IRL,1962,2.0222935752875513
Ireland,IRL,1963,2.024501068119766
Ireland,IRL,1964,2.0147754944129628
Ireland,IRL,1965,2.005206027659235
Ireland,IRL,1966,1.987877299817052
Ireland,IRL,1967,1.9864057333838776
Ireland,IRL,1968,1.9834119089308417
Ireland,IRL,1969,1.9755176057462533
Ireland,IRL,1970,1.9484799483981172
Ireland,IRL,1971,1.9265728470072905
Ireland,IRL,1972,1.9025194822414775
Ireland,IRL,1973,1.8725783281190935
Ireland,IRL,1974,1.8449634313467456
Ireland,IRL,1975,1.8217020658069552
Ireland,IRL,1976,1.7922388565033318
Ireland,IRL,1977,1.764541897539386
Ireland,IRL,1978,1.7385306911228686
Ireland,IRL,1979,1.7121458525645532
Ireland,IRL,1980,1.6919978869968766
Ireland,IRL,1981,1.6750350231939166
Ireland,IRL,1982,1.6581803273277498
Ireland,IRL,1983,1.6393357816073653
Ireland,IRL,1984,1.6281123786275948
Ireland,IRL,1985,1.6249029116950002
Ireland,IRL,1986,1.6192595769222238
Ireland,IRL,1987,1.612422450700091
Ireland,IRL,1988,1.6123865912530235
Ireland,IRL,1989,1.6113319232635583
Ireland,IRL,1990,1.6089960223704278
Ireland,IRL,1991,1.2627533253167544
Ireland,IRL,1992,1.2501937049503193
Ireland,IRL,1993,1.241636784025401
Ireland,IRL,1994,1.2304115123915613
Ireland,IRL,1995,1.2218186920165046
Ireland,IRL,1996,1.1992902058519064
Ireland,IRL,1997,1.2136081877879956
Ireland,IRL,1998,1.1974557319651533
Ireland,IRL,1999,1.1839844265045285
Ireland,IRL,2000,1.1662384027080415
Ireland,IRL,2001,1.1477664750686123
Ireland,IRL,2002,1.118987266626032
Ireland,IRL,2003,1.0979689835068476
Ireland,IRL,2004,1.060833438061373
Ireland,IRL,2005,1.038823555263747
Ireland,IRL,2006,1.0069438945517009
Ireland,IRL,2007,0.9887525924117171
Ireland,IRL,2008,1.0482640801182643
Ireland,IRL,2009,1.022103086030807
Ireland,IRL,2010,1.0030035212713377
Ireland,IRL,2011,0.9921358801421445
Ireland,IRL,2012,0.9836816907606833
Ireland,IRL,2013,0.970008809595309
Ireland,IRL,2014,0.9652367791090428
Ireland,IRL,2015,0.95219159900482
Ireland,IRL,2016,0.9500021189242508
Ireland,IRL,2017,0.9444006968663106
Ireland,IRL,2018,0.9371841724618102
Italy,ITA,1961,0.41322882051951715
Italy,ITA,1962,0.40941796929757757
Italy,ITA,1963,0.4032923679917997
Italy,ITA,1964,0.3990776395581546
Italy,ITA,1965,0.3955318294080508
Italy,ITA,1966,0.3919308609759676
Italy,ITA,1967,0.38866381750792894
Italy,ITA,1968,0.38555135728757317
Italy,ITA,1969,0.3805316995021294
Italy,ITA,1970,0.377062570095474
Italy,ITA,1971,0.32750730698140024
Italy,ITA,1972,0.3226761195951819
Italy,ITA,1973,0.3200703810637267
Italy,ITA,1974,0.31846256419972024
Italy,ITA,1975,0.31696209142795684
Italy,ITA,1976,0.3156219865203538
Italy,ITA,1977,0.31376237318449535
Italy,ITA,1978,0.31415110055316064
Italy,ITA,1979,0.31343313577445314
Italy,ITA,1980,0.31166287298190437
Italy,ITA,1981,0.31060705300112673
Italy,ITA,1982,0.3095779400154962
Italy,ITA,1983,0.3040592562516812
Italy,ITA,1984,0.303254461673474
Italy,ITA,1985,0.3002453212400127
Italy,ITA,1986,0.29906676673464316
Italy,ITA,1987,0.2984156134164306
Italy,ITA,1988,0.2953268433685444
Italy,ITA,1989,0.2954652501916447
Italy,ITA,1990,0.2951887942687658
Italy,ITA,1991,0.28121440973184736
Italy,ITA,1992,0.27960301761268025
Italy,ITA,1993,0.27815846091339513
Italy,ITA,1994,0.27444550542088425
Italy,ITA,1995,0.2681794274109493
Italy,ITA,1996,0.26897291651789684
Italy,ITA,1997,0.2696664044690287
Italy,ITA,1998,0.27288062829513404
Italy,ITA,1999,0.2788601846326593
Italy,ITA,2000,0.2758228833614401
Italy,ITA,2001,0.27256193289487235
Italy,ITA,2002,0.2670921160363712
Italy,ITA,2003,0.25896129057676914
Italy,ITA,2004,0.2568318337699745
Italy,ITA,2005,0.25284306029874604
Italy,ITA,2006,0.24260957645232784
Italy,ITA,2007,0.2410640959336375
Italy,ITA,2008,0.245361210679
Italy,ITA,2009,0.23656631665767852
Italy,ITA,2010,0.24151276348212664
Italy,ITA,2011,0.23246878337230803
Italy,ITA,2012,0.22927724261291488
Italy,ITA,2013,0.2265367811466883
Italy,ITA,2014,0.217879205331866
Italy,ITA,2015,0.2136896965447837
Italy,ITA,2016,0.21119936910535012
Italy,ITA,2017,0.21140246578991448
Italy,ITA,2018,0.20461082452125398
Latvia,LVA,1992,0.9655552476973607
Latvia,LVA,1993,0.9734146293299817
Latvia,LVA,1994,0.998573690806989
Latvia,LVA,1995,0.7303227452481184
Latvia,LVA,1996,0.7560012134747333
Latvia,LVA,1997,0.7222903615405655
Latvia,LVA,1998,0.7195905122669817
Latvia,LVA,1999,0.6714859731272725
Latvia,LVA,2000,0.6660615628790636
Latvia,LVA,2001,0.670286467971881
Latvia,LVA,2002,0.6838068535024201
Latvia,LVA,2003,0.6860816497878438
Latvia,LVA,2004,0.7205164198320171
Latvia,LVA,2005,0.7699846313909502
Latvia,LVA,2006,0.833683135691256
Latvia,LVA,2007,0.8366358232082505
Latvia,LVA,2008,0.8405261647735254
Latvia,LVA,2009,0.8546311168718543
Latvia,LVA,2010,0.8518727750428179
Latvia,LVA,2011,0.867401282951457
Latvia,LVA,2012,0.8897949556697483
Latvia,LVA,2013,0.9178677106657988
Latvia,LVA,2014,0.9261737594985996
Latvia,LVA,2015,0.9433471126920608
Latvia,LVA,2016,0.9780850199517187
Latvia,LVA,2017,0.9907247051274232
Latvia,LVA,2018,1.0049474736045723
Lithuania,LTU,1992,0.9188998363929887
Lithuania,LTU,1993,0.908013319708139
Lithuania,LTU,1994,0.8566394904228198
Lithuania,LTU,1995,0.940271526151681
Lithuania,LTU,1996,0.9465124719875597
Lithuania,LTU,1997,0.9544932693838672
Lithuania,LTU,1998,0.9633935756697132
Lithuania,LTU,1999,0.9905981019392318
Lithuania,LTU,2000,0.976058579506368
Lithuania,LTU,2001,0.8337111806830041
Lithuania,LTU,2002,0.8375031896243661
Lithuania,LTU,2003,0.7442086595897042
Lithuania,LTU,2004,0.7702452226784471
Lithuania,LTU,2005,0.8483171803216728
Lithuania,LTU,2006,0.8448128936362796
Lithuania,LTU,2007,0.8272220142498573
Lithuania,LTU,2008,0.8316876059218175
Lithuania,LTU,2009,0.8489974788974084
Lithuania,LTU,2010,0.8874722454843692
Lithuania,LTU,2011,0.9100010605165787
Lithuania,LTU,2012,0.9332270803310128
Lithuania,LTU,2013,0.9609383256661661
Lithuania,LTU,2014,0.9935732730001074
Lithuania,LTU,2015,1.0252465994515465
Lithuania,LTU,2016,1.0222674271523282
Lithuania,LTU,2017,1.0315897792026045
Lithuania,LTU,2018,1.052025085818402
Luxembourg,LUX,2000,0.2935086436002504
Luxembourg,LUX,2001,0.29077824070077557
Luxembourg,LUX,2002,0.2884663057832987
Luxembourg,LUX,2003,0.2861473390532994
Luxembourg,LUX,2004,0.28329928577594127
Luxembourg,LUX,2005,0.2817565885174362
Luxembourg,LUX,2006,0.27705590515667616
Luxembourg,LUX,2007,0.27583883431772
Luxembourg,LUX,2008,0.2698777309669245
Luxembourg,LUX,2009,0.2632283843577489
Luxembourg,LUX,2010,0.25800913191661956
Luxembourg,LUX,2011,0.25277918456712506
Luxembourg,LUX,2012,0.24756196113077533
Luxembourg,LUX,2013,0.24122677676201712
Luxembourg,LUX,2014,0.2362240223906975
Luxembourg,LUX,2015,0.23162255774683677
Luxembourg,LUX,2016,0.22554655562921225
Luxembourg,LUX,2017,0.22158436248754032
Luxembourg,LUX,2018,0.21772459846585407
Malta,MLT,1961,0.05724935912522979
Malta,MLT,1962,0.053708746943340435
Malta,MLT,1963,0.05017467057192852
Malta,MLT,1964,0.04673945557882142
Malta,MLT,1965,0.04344560920053872
Malta,MLT,1966,0.04338448570791085
Malta,MLT,1967,0.04341650695594464
Malta,MLT,1968,0.04350947418800444
Malta,MLT,1969,0.043609223973859385
Malta,MLT,1970,0.043675614968257184
Malta,MLT,1971,0.043701518627772315
Malta,MLT,1972,0.04369047173226479
Malta,MLT,1973,0.04364280236668683
Malta,MLT,1974,0.04355441346204699
Malta,MLT,1975,0.040328084478030504
Malta,MLT,1976,0.04017553618888683
Malta,MLT,1977,0.043060096516130617
Malta,MLT,1978,0.042815812491207465
Malta,MLT,1979,0.04253832247086885
Malta,MLT,1980,0.03921604117080999
Malta,MLT,1981,0.038907710909722136
Malta,MLT,1982,0.03857967444690102
Malta,MLT,1983,0.038236868576941405
Malta,MLT,1984,0.037889828038472746
Malta,MLT,1985,0.03754512635379061
Malta,MLT,1986,0.037203445611424316
Malta,MLT,1987,0.03686656854487654
Malta,MLT,1988,0.03653748324194279
Malta,MLT,1989,0.03621845859812277
Malta,MLT,1990,0.035910114221786395
Malta,MLT,1991,0.0356162431986674
Malta,MLT,1992,0.035336553490028295
Malta,MLT,1993,0.03506169509810532
Malta,MLT,1994,0.034782608695652174
Malta,MLT,1995,0.029185770079809815
Malta,MLT,1996,0.028928108390992312
Malta,MLT,1997,0.02605795288722118
Malta,MLT,1998,0.023238400165250844
Malta,MLT,1999,0.023039882035803975
Malta,MLT,2000,0.022863239721068476
Malta,MLT,2001,0.02523162632970671
Malta,MLT,2002,0.025080382626317347
Malta,MLT,2003,0.025944284648716884
Malta,MLT,2004,0.02482516874908457
Malta,MLT,2005,0.022982654274155884
Malta,MLT,2006,0.022641806619282945
Malta,MLT,2007,0.022802389101929135
Malta,MLT,2008,0.022711121856158013
Malta,MLT,2009,0.02259738745043154
Malta,MLT,2010,0.024936451878441436
Malta,MLT,2011,0.024729839076497315
Malta,MLT,2012,0.02441863497459751
Malta,MLT,2013,0.024005575488500554
Malta,MLT,2014,0.02377980320643798
Malta,MLT,2015,0.02359540454701667
Malta,MLT,2016,0.02380204404066068
Malta,MLT,2017,0.023702255824521106
Malta,MLT,2018,0.02363129712599716
Netherlands,NLD,1961,0.19937272550097782
Netherlands,NLD,1962,0.19572139267966296
Netherlands,NLD,1963,0.19189560074514847
Netherlands,NLD,1964,0.18760259516923317
Netherlands,NLD,1965,0.18410652084885926
Netherlands,NLD,1966,0.18098718715518214
Netherlands,NLD,1967,0.17830920664030175
Netherlands,NLD,1968,0.17526066975074028
Netherlands,NLD,1969,0.17191744819742222
Netherlands,NLD,1970,0.16866709844828578
Netherlands,NLD,1971,0.1618505480557703
Netherlands,NLD,1972,0.15904455301370996
Netherlands,NLD,1973,0.15642703672692396
Netherlands,NLD,1974,0.15439701917900012
Netherlands,NLD,1975,0.15215637816955002
Netherlands,NLD,1976,0.1502924286110964
Netherlands,NLD,1977,0.1482769961124795
Netherlands,NLD,1978,0.14630944089198702
Netherlands,NLD,1979,0.14457735752253262
Netherlands,NLD,1980,0.142772176247304
Netherlands,NLD,1981,0.1413831206270802
Netherlands,NLD,1982,0.14025670264396825
Netherlands,NLD,1983,0.13985006319009202
Netherlands,NLD,1984,0.13963630560569118
Netherlands,NLD,1985,0.13910755783970302
