Entity,Code,Year,GDP per capita growth (annual %)
Belgium,BEL,2005,1.76045560836792
Belgium,BEL,2006,1.8781832456588745
Belgium,BEL,2007,2.9183382987976074
Belgium,BEL,2008,-0.34345272183418274
Belgium,BEL,2009,-2.8059208393096924
Belgium,BEL,2010,1.9287642240524292
Belgium,BEL,2011,0.38003456592559814
Belgium,BEL,2012,0.11640258133411407
Belgium,BEL,2013,-0.013148386031389236
Belgium,BEL,2014,1.1285957098007202
Belgium,BEL,2015,1.4518933296203613
Belgium,BEL,2016,0.755268931388855
Belgium,BEL,2017,1.2288662195205688
Belgium,BEL,2018,1.3567914962768555
Belgium,BEL,2019,1.5989700555801392
Belgium,BEL,2020,-6.1112565994262695
Bulgaria,BGR,1981,4.551144123077393
Bulgaria,BGR,1982,2.032294273376465
Bulgaria,BGR,1983,3.172520875930786
Bulgaria,BGR,1984,3.1548073291778564
Bulgaria,BGR,1985,2.684953451156616
Bulgaria,BGR,1986,4.235241413116455
Bulgaria,BGR,1987,5.8986124992370605
Bulgaria,BGR,1988,10.820091247558594
Bulgaria,BGR,1989,-2.151690721511841
Bulgaria,BGR,1990,-7.463207721710205
Bulgaria,BGR,1991,-7.534069061279297
Bulgaria,BGR,1992,-6.27126407623291
Bulgaria,BGR,1993,-0.6912134885787964
Bulgaria,BGR,1994,2.164358615875244
Bulgaria,BGR,1995,3.314187526702881
