Entity,Code,Year,0_0_PM25
Lithuania,LTU,2010,14.971064567565918
Lithuania,LTU,2011,14.509682655334473
Lithuania,LTU,2012,13.784524917602539
Lithuania,LTU,2013,12.981191635131836
Lithuania,LTU,2014,12.845193862915039
Lithuania,LTU,2015,12.455035209655762
Lithuania,LTU,2016,11.821615219116211
Lithuania,LTU,2017,11.85328197479248
Luxembourg,LUX,1990,13.694461822509766
Luxembourg,LUX,1995,12.947626113891602
Luxembourg,LUX,2000,12.56956672668457
Luxembourg,LUX,2005,12.355535507202148
Luxembourg,LUX,2010,12.958784103393555
Luxembourg,LUX,2011,12.685996055603027
Luxembourg,LUX,2012,11.775575637817383
Luxembourg,LUX,2013,11.60538387298584
Luxembourg,LUX,2014,10.857613563537598
Luxembourg,LUX,2015,11.006654739379883
Luxembourg,LUX,2016,10.311981201171875
Luxembourg,LUX,2017,10.36463737487793
Malta,MLT,1990,16.854869842529297
Malta,MLT,1995,16.661745071411133
Malta,MLT,2000,16.53494644165039
Malta,MLT,2005,16.10447883605957
Malta,MLT,2010,16.449399948120117
Malta,MLT,2011,16.644304275512695
Malta,MLT,2012,15.397160530090332
Malta,MLT,2013,15.281944274902344
Malta,MLT,2014,14.435403823852539
Malta,MLT,2015,14.72246265411377
Malta,MLT,2016,13.811394691467285
Malta,MLT,2017,13.90954303741455
Netherlands,NLD,1990,16.469402313232422
Netherlands,NLD,1995,15.561695098876953
Netherlands,NLD,2000,14.928680419921875
Netherlands,NLD,2005,14.578018188476562
Netherlands,NLD,2010,15.232430458068848
Netherlands,NLD,2011,14.988138198852539
Netherlands,NLD,2012,13.812414169311523
Netherlands,NLD,2013,13.043145179748535
Netherlands,NLD,2014,12.828797340393066
Netherlands,NLD,2015,12.93210506439209
Netherlands,NLD,2016,12.025242805480957
Netherlands,NLD,2017,12.034407615661621
Poland,POL,1990,30.19942855834961
Poland,POL,1995,27.891828536987305
Poland,POL,2000,25.822185516357422
Poland,POL,2005,26.15121841430664
Poland,POL,2010,27.17650032043457
Poland,POL,2011,26.372507095336914
Poland,POL,2012,24.26397705078125
Poland,POL,2013,22.92872428894043
Poland,POL,2014,22.210891723632812
Poland,POL,2015,22.69131851196289
Poland,POL,2016,20.975767135620117
Poland,POL,2017,20.877822875976562
Portugal,PRT,1990,10.140530586242676
Portugal,PRT,1995,10.084593772888184
Portugal,PRT,2000,10.123692512512207
Portugal,PRT,2005,10.449707984924316
Portugal,PRT,2010,10.076887130737305
Portugal,PRT,2011,10.355012893676758
Portugal,PRT,2012,9.484803199768066
Portugal,PRT,2013,9.43204402923584
Portugal,PRT,2014,8.78479290008545
Portugal,PRT,2015,8.823283195495605
Portugal,PRT,2016,8.052763938903809
Portugal,PRT,2017,8.160752296447754
Romania,ROU,1990,20.319263458251953
Romania,ROU,1995,18.57241439819336
Romania,ROU,2000,17.696741104125977
Romania,ROU,2005,17.15777587890625
Romania,ROU,2010,17.06214714050293
Romania,ROU,2011,17.636754989624023
Romania,ROU,2012,16.315845489501953
Romania,ROU,2013,15.369309425354004
Romania,ROU,2014,15.006495475769043
Romania,ROU,2015,15.433555603027344
Romania,ROU,2016,14.537062644958496
Romania,ROU,2017,14.611340522766113
Slovakia,SVK,1990,24.95343589782715
Slovakia,SVK,1995,22.81060791015625
Slovakia,SVK,2000,21.7239990234375
Slovakia,SVK,2005,21.94342041015625
Slovakia,SVK,2010,21.69021987915039
Slovakia,SVK,2011,21.76719856262207
Slovakia,SVK,2012,19.76493263244629
Slovakia,SVK,2013,19.315492630004883
Slovakia,SVK,2014,18.304182052612305
Slovakia,SVK,2015,18.80264663696289
Slovakia,SVK,2016,17.353662490844727
Slovakia,SVK,2017,17.562911987304688
Slovenia,SVN,1990,22.271148681640625
Slovenia,SVN,1995,20.88141441345215
Slovenia,SVN,2000,19.13404655456543
Slovenia,SVN,2005,19.422842025756836
Slovenia,SVN,2010,18.681655883789062
Slovenia,SVN,2011,19.514137268066406
Slovenia,SVN,2012,17.67007827758789
Slovenia,SVN,2013,17.571378707885742
Slovenia,SVN,2014,16.632699966430664
Slovenia,SVN,2015,17.12815284729004
Slovenia,SVN,2016,15.912736892700195
Slovenia,SVN,2017,16.02397918701172
Spain,ESP,1990,12.211322784423828
Spain,ESP,1995,11.945395469665527
Spain,ESP,2000,11.774209022521973
Spain,ESP,2005,11.569025039672852
Spain,ESP,2010,11.349328994750977
Spain,ESP,2011,12.03799819946289
Spain,ESP,2012,11.149622917175293
Spain,ESP,2013,10.742582321166992
Spain,ESP,2014,10.074588775634766
Spain,ESP,2015,10.449102401733398
Spain,ESP,2016,9.70413875579834
Spain,ESP,2017,9.697927474975586
Sweden,SWE,1990,7.9475321769714355
Sweden,SWE,1995,7.575328350067139
Sweden,SWE,2000,7.578009128570557
Sweden,SWE,2005,7.165820121765137
Sweden,SWE,2010,7.20975923538208
Sweden,SWE,2011,7.391221523284912
Sweden,SWE,2012,6.627942085266113
Sweden,SWE,2013,6.431169033050537
Sweden,SWE,2014,6.959197521209717
Sweden,SWE,2015,6.322498321533203
Sweden,SWE,2016,6.114258289337158
Sweden,SWE,2017,6.184665203094482
United Kingdom,GBR,1990,13.508186340332031
United Kingdom,GBR,1995,13.005444526672363
United Kingdom,GBR,2000,12.618228912353516
United Kingdom,GBR,2005,12.537897109985352
United Kingdom,GBR,2010,12.299108505249023
United Kingdom,GBR,2011,12.84799861907959
United Kingdom,GBR,2012,11.814495086669922
United Kingdom,GBR,2013,11.618901252746582
United Kingdom,GBR,2014,10.800559997558594
United Kingdom,GBR,2015,10.754873275756836
United Kingdom,GBR,2016,10.504667282104492
United Kingdom,GBR,2017,10.47269058227539
