Entity,Code,Year,2_1_GDPPC_Growth
abc,GEO,1966,113.392
abc,GEO,1967,99.5438
abc,GEO,1968,70.5829
abc,GEO,1969,79.0769
abc,GEO,1970,236.927
abc,GEO,1971,33.7803
abc,GEO,1972,43.7905
abc,GEO,1973,137.243
abc,GEO,1974,205.383
abc,GEO,1975,185.606
abc,GEO,1976,160.137
abc,GEO,1977,195.085
abc,GEO,1978,228.383
abc,GEO,1979,235.996
abc,GEO,1980,141.323
abc,GEO,1981,174.641
abc,GEO,1982,47.2275
abc,GEO,1983,141.816
abc,GEO,1984,195.996
abc,GEO,1985,182.045
abc,GEO,1986,-422.773
abc,GEO,1987,19.2373
abc,GEO,1988,194.198
abc,GEO,1989,-334.353
abc,GEO,1990,-614.298
abc,GEO,1991,-767.853
abc,GEO,1992,-1259.27
abc,GEO,1993,-453.3
abc,GEO,1994,-96.0227
abc,GEO,1995,63.3103
abc,GEO,1996,158.158
abc,GEO,1997,168.212
abc,GEO,1998,77.3191
abc,GEO,1999,71.9446
abc,GEO,2000,57.9038
abc,GEO,2001,100.948
abc,GEO,2002,107.128
abc,GEO,2003,209.608
abc,GEO,2004,128.017
abc,GEO,2005,217.31
abc,GEO,2006,233.972
abc,GEO,2007,337.561
abc,GEO,2008,79.2056
abc,GEO,2009,-83.1787
abc,GEO,2010,203.593
abc,GEO,2011,256.274
abc,GEO,2012,240.206
abc,GEO,2013,141.501
abc,GEO,2014,163.864
abc,GEO,2015,111.617
abc,GEO,2016,114.2
abc,GEO,2017,199.342
abc,GEO,2018,211.36
abc,GEO,2019,234.336
abc,GEO,2020,-325.759
abc,IRN,1961,205.832
abc,IRN,1962,150.913
abc,IRN,1963,123.763
abc,IRN,1964,183.719
abc,IRN,1965,433.518
abc,IRN,1966,290.582
abc,IRN,1967,328.45
abc,IRN,1968,483.505
abc,IRN,1969,607.676
abc,IRN,1970,426.875
abc,IRN,1971,642.204
abc,IRN,1972,714.893
abc,IRN,1973,393.765
abc,IRN,1974,264.934
abc,IRN,1975,-393.096
abc,IRN,1976,998.771
abc,IRN,1977,-575.683
abc,IRN,1978,-1283.11
abc,IRN,1979,-864.966
abc,IRN,1980,-1656.86
abc,IRN,1981,-341.336
abc,IRN,1982,772.981
abc,IRN,1983,180.484
abc,IRN,1984,-555.805
abc,IRN,1985,-74.8015
abc,IRN,1986,-527.724
abc,IRN,1987,-106.071
abc,IRN,1988,-283.314
abc,IRN,1989,77.8108
abc,IRN,1990,322.732
abc,IRN,1991,327.965
abc,IRN,1992,34.2373
abc,IRN,1993,-20.9722
abc,IRN,1994,-105.963
abc,IRN,1995,30.8928
abc,IRN,1996,135.27
abc,IRN,1997,-31.4092
abc,IRN,1998,31.0986
abc,IRN,1999,-13.325
abc,IRN,2000,166.812
abc,IRN,2001,-15.5342
abc,IRN,2002,230.594
abc,IRN,2003,302.582
abc,IRN,2004,137.896
