2014,1034,1034,1375,4,YEM ,
2015,145,145,153,3,YEM ,
2016,32,10,33,3,YEM ,
2017,130,4,163,3,YEM ,
2018,36,7,37,3,YEM ,
1989,27,27,30,3,ISR: LBN,
2001,27,24,34,3,ISR,
1989,27,27,33,3,ISR: LBN,
1990,29,26,49,3,ISR: LBN,
1991,28,28,30,3,ISR: LBN,
1992,33,32,36,3,FRA: ISR: LBN,
2000,30,27,32,3,ISR,
2001,37,37,42,3,ISR,
2002,62,62,62,3,ISR,
2005,39,37,41,3,ISR,
2006,72,68,81,3,ISR,
2007,41,41,47,3,ISR,
1993,47,47,48,3,ISR,
1994,44,41,45,3,ISR,
2001,79,77,83,3,ISR,
2002,195,189,201,3,ISR,
2003,220,220,231,3,ISR,
2004,204,202,238,3,ISR: SYR,
2005,34,34,41,3,ISR,
2006,121,121,148,3,ISR,
2007,141,141,160,3,ISR,
2008,603,515,641,3,ISR,
2009,657,559,828,3,ISR,
2011,35,35,35,3,ISR,
2012,197,198,207,3,ISR,
2014,2143,2133,2146,3,ISR,
2018,53,53,62,3,ISR,
2021,233,233,233,3,ISR,
1995,34,34,36,3,ISR: MLT,
2001,26,26,26,3,ISR,
2002,107,107,111,3,ISR,
2003,52,52,56,3,ISR,
2004,70,60,74,3,ISR,
2005,47,45,53,3,ISR,
2006,90,90,97,3,ISR: LBN,
2007,94,93,98,3,ISR,
2008,62,62,71,3,ISR,
2009,39,39,39,3,ISR,
2010,27,27,27,3,ISR,
2011,43,43,43,3,ISR,
2012,38,38,38,3,ISR,
2014,227,227,229,3,ISR,
2019,50,50,51,3,ISR: SYR,
2021,36,36,36,3,ISR,
1996,66,66,66,3,ISR,
2000,47,47,47,3,ISR,
2001,75,74,76,3,ISR,
2002,116,115,152,3,ISR,
2002,131,131,141,3,ISR,
2003,38,38,42,3,ISR,
2004,105,105,116,3,ISR,
2006,45,42,52,3,ISR,
2013,1870,1723,1925,3,IRQ: SYR,
2014,13761,13035,15037,4,IRQ: SYR,
2015,10981,10919,12182,4,FRA: IRQ: LBY: SYR,
2016,9775,9543,10214,4,Belgium: IRQ: LBY: SYR,
2017,10025,9776,12186,4,AFG: FRA: IRQ: PAK: SYR: YEM ,
2018,866,856,900,4,Australia: Belgium: FRA: IRQ: SYR,
2019,498,497,520,4,IRQ: SYR: GBR,
2020,671,638,711,4,IRQ: SYR,
2021,707,628,816,4,AFG: IRQ,
1989,458,401,616,4,LBN,
1990,700,400,800,4,LBN,
1989,253,205,290,4,LBN,
1996,356,356,366,3,IRN: IRQ,
2012,25,25,35,3,PAK,
2015,44,44,44,3,PAK,
2004,43,43,58,3,PAK,
2006,43,43,52,3,PAK,
2007,83,82,331,3,PAK,
2008,54,54,86,3,PAK,
2009,32,32,48,3,PAK,
2011,42,42,123,3,PAK,
2012,31,31,31,3,PAK,
2013,45,45,45,3,PAK,
2014,46,46,46,3,PAK,
2015,31,31,31,3,PAK,
2016,59,59,59,3,PAK,
2006,157,157,157,3,PAK,
2008,143,132,147,3,PAK,
2009,49,49,54,3,PAK,
2012,62,62,296,3,PAK,
2014,44,44,44,3,PAK,
2015,32,32,32,3,PAK,
1989,1545,1374,1745,4,AFG,
1990,581,515,1231,3,AFG,
1991,385,334,385,3,AFG,
1992,35,35,35,3,AFG,
1996,314,314,314,3,AFG,
