Entity,Code,Year,5_0_BattleDeath
883,KWT,2015,26
894,LBN,1989,1097
895,LBN,1990,1903
896,LBN,1991,68
897,LBN,1992,132
898,LBN,1993,165
899,LBN,1994,144
900,LBN,1995,126
901,LBN,1996,213
902,LBN,1997,99
903,LBN,1998,85
904,LBN,1999,74
905,LBN,2000,56
906,LBN,2001,4
907,LBN,2002,0
908,LBN,2003,1
909,LBN,2005,3
910,LBN,2006,747
911,LBN,2008,38
912,LBN,2011,4
913,LBN,2012,53
914,LBN,2013,179
915,LBN,2014,228
916,LBN,2015,200
917,LBN,2016,56
918,LBN,2017,297
919,LBN,2018,2
920,LBN,2020,20
1195,PAK,1989,114
1196,PAK,1990,386
1197,PAK,1991,62
1198,PAK,1992,72
1199,PAK,1993,48
1200,PAK,1994,169
1201,PAK,1995,127
1202,PAK,1996,64
1203,PAK,1997,123
1204,PAK,1998,121
1205,PAK,1999,57
1206,PAK,2000,59
1207,PAK,2001,42
1208,PAK,2002,170
1209,PAK,2003,242
1210,PAK,2004,430
1211,PAK,2005,153
1212,PAK,2006,427
1213,PAK,2007,1366
1214,PAK,2008,4620
1215,PAK,2009,7460
1216,PAK,2010,7226
1217,PAK,2011,3475
1218,PAK,2012,3541
1219,PAK,2013,2914
1220,PAK,2014,3620
1221,PAK,2015,2450
1222,PAK,2016,1100
1223,PAK,2017,954
1224,PAK,2018,483
1225,PAK,2019,293
1226,PAK,2020,409
1227,PAK,2021,448
1310,QAT,2004,0
1365,SAU,1991,91
1366,SAU,2003,26
1367,SAU,2004,91
1368,SAU,2005,31
1369,SAU,2006,11
1370,SAU,2007,2
1371,SAU,2015,110
1372,SAU,2016,125
1373,SAU,2017,45
1374,SAU,2018,11
1375,SAU,2019,3
1376,SAU,2020,0
1377,SAU,2021,6
1511,SYR,2004,8
1512,SYR,2008,1
1513,SYR,2011,4347
1514,SYR,2012,53695
1515,SYR,2013,76490
1516,SYR,2014,78644
1517,SYR,2015,59582
1518,SYR,2016,53863
1519,SYR,2017,38534
1520,SYR,2018,21727
1521,SYR,2019,11217
1522,SYR,2020,5690
1523,SYR,2021,1942
1629,TUR,1989,538
1630,TUR,1990,630
1631,TUR,1991,448
1632,TUR,1992,1917
1633,TUR,1993,2764
1634,TUR,1994,4150
1635,TUR,1995,3201
1636,TUR,1996,3386
1637,TUR,1997,2353
1638,TUR,1998,2028
1639,TUR,1999,1195
1640,TUR,2000,153
1641,TUR,2001,120
1642,TUR,2002,34
1643,TUR,2003,150
1644,TUR,2004,221
1645,TUR,2005,295
1646,TUR,2006,226
1647,TUR,2007,502
1648,TUR,2008,491
1649,TUR,2009,138
1650,TUR,2010,231
1651,TUR,2011,410
1652,TUR,2012,789
1653,TUR,2013,23
1654,TUR,2014,11
1655,TUR,2015,1061
1656,TUR,2016,1558
1657,TUR,2017,455
1658,TUR,2018,435
1659,TUR,2019,307
1660,TUR,2020,205
1661,TUR,2021,130
1701,UZB,1999,50
1702,UZB,2000,297
1703,UZB,2004,37
1704,UZB,2009,16
1738,YEM,1994,1489
1739,YEM,2003,6
1740,YEM,2004,28
1741,YEM,2008,21
1742,YEM,2009,94
1743,YEM,2010,201
1744,YEM,2011,1317
1745,YEM,2012,2345
1746,YEM,2013,582
1747,YEM,2014,2120
1748,YEM,2015,7239
1749,YEM,2016,3948
1750,YEM,2017,3493
1751,YEM,2018,4840
1752,YEM,2019,2044
1753,YEM,2020,2730
1754,YEM,2021,23297
