Entity,Code,Year,0_0_temp_anomaly
Armenia,ARM,1960,0.35
Armenia,ARM,1961,0.46
Armenia,ARM,1962,1.08
Armenia,ARM,1963,0.19
Armenia,ARM,1964,-0.86
Armenia,ARM,1965,-0.37
Armenia,ARM,1966,1.77
Armenia,ARM,1967,-0.7
Armenia,ARM,1968,0.09
Armenia,ARM,1969,-0.63
Armenia,ARM,1970,0.59
Armenia,ARM,1971,0.11
Armenia,ARM,1972,-1.08
Armenia,ARM,1973,-0.65
Armenia,ARM,1974,-0.5
Armenia,ARM,1975,0.05
Armenia,ARM,1976,-0.76
Armenia,ARM,1977,-0.27
Armenia,ARM,1978,-0.05
Armenia,ARM,1979,0.91
Armenia,ARM,1980,0.07
Armenia,ARM,1981,0.74
Armenia,ARM,1982,-0.78
Armenia,ARM,1983,-0.15
Armenia,ARM,1984,-0.04
Armenia,ARM,1985,-0.01
Armenia,ARM,1986,0.21
Armenia,ARM,1987,-0.29
Armenia,ARM,1988,-0.44
Armenia,ARM,1989,0.12
Armenia,ARM,1990,-0.07
Armenia,ARM,1991,-0.05
Armenia,ARM,1992,-1.48
Armenia,ARM,1993,-1.11
Armenia,ARM,1994,0.08
Armenia,ARM,1995,0.57
Armenia,ARM,1996,0.4
Armenia,ARM,1997,-0.12
Armenia,ARM,1998,1.06
Armenia,ARM,1999,1.22
Armenia,ARM,2000,0.7
Armenia,ARM,2001,1.4
Armenia,ARM,2002,0.64
Armenia,ARM,2003,0.43
Armenia,ARM,2004,0.69
Armenia,ARM,2005,1.12
Armenia,ARM,2006,0.89
Armenia,ARM,2007,0.72
Armenia,ARM,2008,0.67
Armenia,ARM,2009,0.72
Armenia,ARM,2010,2.54
Armenia,ARM,2011,-0.09
Armenia,ARM,2012,1.1
Armenia,ARM,2013,0.88
Armenia,ARM,2014,1.33
Armenia,ARM,2015,1.24
Armenia,ARM,2016,0.8
Armenia,ARM,2017,0.58
Azerbaijan,AZE,1850,-1.03
Azerbaijan,AZE,1851,-0.13
Azerbaijan,AZE,1852,-0.71
Azerbaijan,AZE,1853,-0.42
Azerbaijan,AZE,1854,-1.07
Azerbaijan,AZE,1855,-0.05
Azerbaijan,AZE,1856,-0.6
Azerbaijan,AZE,1857,-1.79
Azerbaijan,AZE,1858,-1.41
Azerbaijan,AZE,1859,-0.59
Azerbaijan,AZE,1860,-1.02
Azerbaijan,AZE,1861,-1.85
Azerbaijan,AZE,1862,-2.11
Azerbaijan,AZE,1863,-1.25
Azerbaijan,AZE,1864,-1.11
Azerbaijan,AZE,1865,-0.72
Azerbaijan,AZE,1866,-0.68
Azerbaijan,AZE,1867,-0.57
Azerbaijan,AZE,1868,-0.75
Azerbaijan,AZE,1869,-0.13
Azerbaijan,AZE,1870,-0.62
Azerbaijan,AZE,1871,-0.64
Azerbaijan,AZE,1872,0.44
Azerbaijan,AZE,1873,0.38
Azerbaijan,AZE,1874,-0.25
Azerbaijan,AZE,1875,-0.37
Azerbaijan,AZE,1876,-0.04
Azerbaijan,AZE,1877,-0.28
Azerbaijan,AZE,1878,-0.12
Azerbaijan,AZE,1879,0.01
Azerbaijan,AZE,1880,-1.88
Azerbaijan,AZE,1881,-0.4
Azerbaijan,AZE,1882,-0.64
Azerbaijan,AZE,1883,-0.11
Azerbaijan,AZE,1884,-0.66
Azerbaijan,AZE,1885,-0.37
Azerbaijan,AZE,1886,-0.93
Azerbaijan,AZE,1887,-0.09
Azerbaijan,AZE,1888,0.39
Azerbaijan,AZE,1889,-0.19
Azerbaijan,AZE,1890,-0.01
Azerbaijan,AZE,1891,-0.35
Azerbaijan,AZE,1892,0.05
Azerbaijan,AZE,1893,-0.48
Azerbaijan,AZE,1894,-1.06
Azerbaijan,AZE,1895,-0.32
Azerbaijan,AZE,1896,-0.94
Azerbaijan,AZE,1897,0.05
Azerbaijan,AZE,1898,-0.96
Azerbaijan,AZE,1899,0.36
Azerbaijan,AZE,1900,-0.74
Azerbaijan,AZE,1901,0.57
Azerbaijan,AZE,1902,-0.2
Azerbaijan,AZE,1903,-0.35
Azerbaijan,AZE,1904,-0.65
Azerbaijan,AZE,1905,-0.19
Azerbaijan,AZE,1906,0.11
Azerbaijan,AZE,1907,-0.87
Azerbaijan,AZE,1908,-1.03
Azerbaijan,AZE,1909,0.16
Azerbaijan,AZE,1910,0.19
Azerbaijan,AZE,1911,-1.8
Azerbaijan,AZE,1912,-0.11
Azerbaijan,AZE,1913,-0.27
Azerbaijan,AZE,1914,0.13
Azerbaijan,AZE,1915,0.47
Azerbaijan,AZE,1916,0.02
Azerbaijan,AZE,1917,0.52
Azerbaijan,AZE,1918,-0.25
Azerbaijan,AZE,1919,0.02
Azerbaijan,AZE,1920,-1.65
Azerbaijan,AZE,1921,-0.77
Azerbaijan,AZE,1922,0.29
Azerbaijan,AZE,1923,0.09
Azerbaijan,AZE,1924,-0.11
Azerbaijan,AZE,1925,0.07
Azerbaijan,AZE,1926,-0.28
Azerbaijan,AZE,1927,-0.18
Azerbaijan,AZE,1928,-1.19
Azerbaijan,AZE,1929,-0.87
Azerbaijan,AZE,1930,0.06
Azerbaijan,AZE,1931,-0.8
Azerbaijan,AZE,1932,-0.58
Azerbaijan,AZE,1933,-0.87
Azerbaijan,AZE,1934,-0.55
Azerbaijan,AZE,1935,0.36
Azerbaijan,AZE,1936,0.17
Azerbaijan,AZE,1937,0.42
Azerbaijan,AZE,1938,0.43
Azerbaijan,AZE,1939,0.21
Azerbaijan,AZE,1940,0.41
Azerbaijan,AZE,1941,-0.05
Azerbaijan,AZE,1942,-0.45
Azerbaijan,AZE,1943,-0.32
Azerbaijan,AZE,1944,0.33
Azerbaijan,AZE,1945,-0.98
Azerbaijan,AZE,1946,-0.32
Azerbaijan,AZE,1947,0.36
Azerbaijan,AZE,1948,-0.19
Azerbaijan,AZE,1949,-0.87
Azerbaijan,AZE,1950,-0.64
Azerbaijan,AZE,1951,-0.09
Azerbaijan,AZE,1952,0.29
Azerbaijan,AZE,1953,-0.46
Azerbaijan,AZE,1954,-0.17
Azerbaijan,AZE,1955,0.85
Azerbaijan,AZE,1956,-1.09
Azerbaijan,AZE,1957,0.17
Azerbaijan,AZE,1958,-0.03
Azerbaijan,AZE,1959,-0.95
Azerbaijan,AZE,1960,0.17
Azerbaijan,AZE,1961,0.47
Azerbaijan,AZE,1962,1.06
Azerbaijan,AZE,1963,0.23
Azerbaijan,AZE,1964,-0.83
Azerbaijan,AZE,1965,-0.34
Azerbaijan,AZE,1966,1.68
Azerbaijan,AZE,1967,-0.57
Azerbaijan,AZE,1968,0.19
Azerbaijan,AZE,1969,-0.86
Azerbaijan,AZE,1970,0.5
Azerbaijan,AZE,1971,0.25
Azerbaijan,AZE,1972,-0.99
Azerbaijan,AZE,1973,-0.63
Azerbaijan,AZE,1974,-0.48
Azerbaijan,AZE,1975,0.18
Azerbaijan,AZE,1976,-0.78
Azerbaijan,AZE,1977,-0.3
Azerbaijan,AZE,1978,-0.18
Azerbaijan,AZE,1979,0.77
Azerbaijan,AZE,1980,-0.04
Azerbaijan,AZE,1981,0.7
Azerbaijan,AZE,1982,-0.79
Azerbaijan,AZE,1983,-0.08
Azerbaijan,AZE,1984,-0.19
Azerbaijan,AZE,1985,-0.17
Azerbaijan,AZE,1986,0.15
Azerbaijan,AZE,1987,-0.46
Azerbaijan,AZE,1988,-0.44
Azerbaijan,AZE,1989,-0.04
Azerbaijan,AZE,1990,-0.24
Azerbaijan,AZE,1991,-0.03
Azerbaijan,AZE,1992,-1.28
Azerbaijan,AZE,1993,-1.14
Azerbaijan,AZE,1994,-0.04
Azerbaijan,AZE,1995,0.73
Azerbaijan,AZE,1996,0.35
Azerbaijan,AZE,1997,-0.05
Azerbaijan,AZE,1998,0.95
Azerbaijan,AZE,1999,1.25
Azerbaijan,AZE,2000,0.78
Azerbaijan,AZE,2001,1.31
Azerbaijan,AZE,2002,0.65
Azerbaijan,AZE,2003,0.31
Azerbaijan,AZE,2004,0.91
Azerbaijan,AZE,2005,1.11
Azerbaijan,AZE,2006,0.93
Azerbaijan,AZE,2007,0.82
Azerbaijan,AZE,2008,0.62
Azerbaijan,AZE,2009,0.75
Azerbaijan,AZE,2010,2.44
Azerbaijan,AZE,2011,-0.03
Azerbaijan,AZE,2012,1.15
Azerbaijan,AZE,2013,1.02
Azerbaijan,AZE,2014,1.26
Azerbaijan,AZE,2015,1.22
Azerbaijan,AZE,2016,0.84
Azerbaijan,AZE,2017,0.63
Georgia,GEO,1850,-1.03
Georgia,GEO,1851,0.01
Georgia,GEO,1852,-0.43
Georgia,GEO,1853,0.02
Georgia,GEO,1854,-1.09
Georgia,GEO,1855,0.02
Georgia,GEO,1856,-0.46
Georgia,GEO,1857,-1.33
Georgia,GEO,1858,-0.9
Georgia,GEO,1859,-0.43
Georgia,GEO,1860,-0.26
Georgia,GEO,1861,-1.19
Georgia,GEO,1862,-1.47
Georgia,GEO,1863,-1.16
Georgia,GEO,1864,-0.41
Georgia,GEO,1865,-0.15
Georgia,GEO,1866,-0.3
Georgia,GEO,1867,-0.28
Georgia,GEO,1868,-0.37
Georgia,GEO,1869,0
Georgia,GEO,1870,-0.26
Georgia,GEO,1871,0.17
Georgia,GEO,1872,0.78
Georgia,GEO,1873,0.76
Georgia,GEO,1874,-0.19
Georgia,GEO,1875,-0.34
Georgia,GEO,1881,-0.6
Georgia,GEO,1882,-1.13
Georgia,GEO,1883,-0.54
Georgia,GEO,1884,-1.22
Georgia,GEO,1885,-0.55
Georgia,GEO,1886,-1.24
Georgia,GEO,1887,-0.76
Georgia,GEO,1888,-0.45
Georgia,GEO,1889,-0.33
Georgia,GEO,1890,-0.65
Georgia,GEO,1891,-0.69
Georgia,GEO,1892,0.07
Georgia,GEO,1893,-0.68
Georgia,GEO,1894,-1.19
Georgia,GEO,1895,-0.25
Georgia,GEO,1896,-1.16
Georgia,GEO,1897,-0.68
Georgia,GEO,1898,-1.12
Georgia,GEO,1899,0.48
Georgia,GEO,1900,-0.66
Georgia,GEO,1901,0.72
Georgia,GEO,1902,-0.24
Georgia,GEO,1903,-0.46
Georgia,GEO,1904,-0.68
Georgia,GEO,1905,-0.36
Georgia,GEO,1906,-0.23
Georgia,GEO,1907,-0.91
Georgia,GEO,1908,-1.09
Georgia,GEO,1909,0.08
Georgia,GEO,1910,0.12
Georgia,GEO,1911,-1.68
Georgia,GEO,1912,-0.18
Georgia,GEO,1913,-0.75
Georgia,GEO,1914,-0.31
Georgia,GEO,1915,0.12
Georgia,GEO,1916,0.4
Georgia,GEO,1917,0.49
Georgia,GEO,1918,0.73
Georgia,GEO,1919,0.38
Georgia,GEO,1920,-1.77
Georgia,GEO,1921,-0.87
Georgia,GEO,1922,0.53
Georgia,GEO,1923,0.38
Georgia,GEO,1924,0.39
Georgia,GEO,1925,0.24
Georgia,GEO,1926,-0.13
Georgia,GEO,1927,-0.31
Georgia,GEO,1928,-1.38
Georgia,GEO,1929,-0.73
Georgia,GEO,1930,0.58
Georgia,GEO,1931,-0.76
Georgia,GEO,1932,-0.75
Georgia,GEO,1933,-1.25
Georgia,GEO,1934,-0.4
Georgia,GEO,1935,0.36
Georgia,GEO,1936,0.18
Georgia,GEO,1937,0.67
Georgia,GEO,1938,0.41
Georgia,GEO,1939,0.25
Georgia,GEO,1940,0.29
Georgia,GEO,1941,-0.33
Georgia,GEO,1942,-0.36
Georgia,GEO,1943,-0.26
Georgia,GEO,1944,0.16
Georgia,GEO,1945,-1.15
Georgia,GEO,1946,-0.35
Georgia,GEO,1947,0.52
Georgia,GEO,1948,-0.15
Georgia,GEO,1949,-0.95
Georgia,GEO,1950,-0.42
Georgia,GEO,1951,0.06
Georgia,GEO,1952,0.41
Georgia,GEO,1953,-0.62
Georgia,GEO,1954,-0.08
Georgia,GEO,1955,1.07
Georgia,GEO,1956,-1.43
Georgia,GEO,1957,0.64
Georgia,GEO,1958,-0.09
Georgia,GEO,1959,-0.61
Georgia,GEO,1960,0.3
Georgia,GEO,1961,0.34
Georgia,GEO,1962,1.18
Georgia,GEO,1963,0.2
Georgia,GEO,1964,-0.82
Georgia,GEO,1965,-0.42
Georgia,GEO,1966,2.05
Georgia,GEO,1967,-0.56
Georgia,GEO,1968,0.16
Georgia,GEO,1969,-0.56
Georgia,GEO,1970,0.56
Georgia,GEO,1971,0.24
Georgia,GEO,1972,-0.46
Georgia,GEO,1973,-0.87
Georgia,GEO,1974,-0.28
Georgia,GEO,1975,0.14
Georgia,GEO,1976,-1
Georgia,GEO,1977,-0.39
Georgia,GEO,1978,-0.23
Georgia,GEO,1979,1.05
Georgia,GEO,1980,0.13
Georgia,GEO,1981,0.95
Georgia,GEO,1982,-0.54
Georgia,GEO,1983,0
Georgia,GEO,1984,-0.1
Georgia,GEO,1985,-0.31
Georgia,GEO,1986,0.15
Georgia,GEO,1987,-0.71
Georgia,GEO,1988,-0.49
Georgia,GEO,1989,0.39
Georgia,GEO,1990,0.03
Georgia,GEO,1991,0.08
Georgia,GEO,1992,-1.36
Georgia,GEO,1993,-1.35
Georgia,GEO,1994,-0.06
Georgia,GEO,1995,0.67
Georgia,GEO,1996,0.39
Georgia,GEO,1997,-0.1
Georgia,GEO,1998,1.19
Georgia,GEO,1999,1.06
Georgia,GEO,2000,0.52
Georgia,GEO,2001,1.03
Georgia,GEO,2002,0.53
Georgia,GEO,2003,0.06
Georgia,GEO,2004,0.41
Georgia,GEO,2005,0.69
Georgia,GEO,2006,0.61
Georgia,GEO,2007,0.97
Georgia,GEO,2008,0.38
Georgia,GEO,2009,0.74
Georgia,GEO,2010,2.55
Georgia,GEO,2011,-0.2
Georgia,GEO,2012,1.06
Georgia,GEO,2013,0.95
Georgia,GEO,2014,1.43
Georgia,GEO,2015,1.43
Georgia,GEO,2016,0.95
Georgia,GEO,2017,0.44
Iran,IRN,1864,0.7
Iran,IRN,1865,0.01
Iran,IRN,1870,0.75
Iran,IRN,1875,-0.39
Iran,IRN,1876,-0.45
Iran,IRN,1882,-0.34
Iran,IRN,1883,0.65
Iran,IRN,1884,0.07
Iran,IRN,1885,-0.07
Iran,IRN,1886,-0.4
Iran,IRN,1887,0.05
Iran,IRN,1888,0.97
Iran,IRN,1889,0.6
Iran,IRN,1890,0.66
Iran,IRN,1891,-0.18
Iran,IRN,1892,0.28
Iran,IRN,1893,-0.19
Iran,IRN,1894,-1.15
Iran,IRN,1895,-0.26
Iran,IRN,1896,-0.63
Iran,IRN,1897,-0.48
Iran,IRN,1898,-1.14
Iran,IRN,1899,0.33
Iran,IRN,1900,-0.33
Iran,IRN,1901,0.5
Iran,IRN,1902,0.05
Iran,IRN,1903,-0.92
Iran,IRN,1904,-0.44
Iran,IRN,1905,-0.68
Iran,IRN,1906,-0.79
Iran,IRN,1907,-0.58
Iran,IRN,1908,-0.69
Iran,IRN,1909,-0.45
Iran,IRN,1910,-0.93
Iran,IRN,1911,-1.66
Iran,IRN,1912,-0.37
Iran,IRN,1913,-0.14
Iran,IRN,1914,0.07
Iran,IRN,1915,0.51
Iran,IRN,1916,-0.45
Iran,IRN,1917,0.4
Iran,IRN,1918,-0.77
Iran,IRN,1919,-0.14
Iran,IRN,1920,-0.55
Iran,IRN,1921,-0.53
Iran,IRN,1922,0.4
Iran,IRN,1923,-0.51
Iran,IRN,1924,-0.72
Iran,IRN,1925,-0.25
Iran,IRN,1926,-0.04
Iran,IRN,1927,-0.22
Iran,IRN,1928,-0.22
Iran,IRN,1929,-0.64
Iran,IRN,1930,-0.06
Iran,IRN,1931,-0.63
Iran,IRN,1932,-0.83
Iran,IRN,1933,-0.46
Iran,IRN,1934,-0.86
Iran,IRN,1935,-0.66
Iran,IRN,1936,-0.64
Iran,IRN,1937,-0.33
Iran,IRN,1938,-0.04
Iran,IRN,1939,-0.07
Iran,IRN,1940,0.4
Iran,IRN,1941,0.52
Iran,IRN,1942,-0.08
Iran,IRN,1943,-0.76
Iran,IRN,1944,0.27
Iran,IRN,1945,-0.14
Iran,IRN,1946,-0.2
Iran,IRN,1947,0.41
Iran,IRN,1948,-0.22
Iran,IRN,1949,-0.79
Iran,IRN,1950,-0.91
Iran,IRN,1951,0.14
Iran,IRN,1952,0.07
Iran,IRN,1953,0.23
Iran,IRN,1954,0.17
Iran,IRN,1955,0.32
Iran,IRN,1956,-0.3
Iran,IRN,1957,-0.8
Iran,IRN,1958,0.33
Iran,IRN,1959,-0.26
Iran,IRN,1960,0.07
Iran,IRN,1961,0.11
Iran,IRN,1962,0.14
Iran,IRN,1963,0.58
Iran,IRN,1964,-0.8
Iran,IRN,1965,0.11
Iran,IRN,1966,0.74
Iran,IRN,1967,-0.29
Iran,IRN,1968,-0.05
Iran,IRN,1969,-0.16
Iran,IRN,1970,0.68
Iran,IRN,1971,0.06
Iran,IRN,1972,-1.39
Iran,IRN,1973,-0.07
Iran,IRN,1974,-0.79
Iran,IRN,1975,-0.32
Iran,IRN,1976,-0.38
Iran,IRN,1977,0.44
Iran,IRN,1978,0.32
Iran,IRN,1979,0.25
Iran,IRN,1980,0.41
Iran,IRN,1981,0.46
Iran,IRN,1982,-0.69
Iran,IRN,1983,-0.08
Iran,IRN,1984,-0.34
Iran,IRN,1985,0.09
Iran,IRN,1986,-0.35
Iran,IRN,1987,0.4
Iran,IRN,1988,0.44
Iran,IRN,1989,-0.25
Iran,IRN,1990,0.35
Iran,IRN,1991,-0.05
Iran,IRN,1992,-1.05
Iran,IRN,1993,-0.3
Iran,IRN,1994,0.37
Iran,IRN,1995,0.32
Iran,IRN,1996,0.12
Iran,IRN,1997,0.29
Iran,IRN,1998,1.14
Iran,IRN,1999,1.15
Iran,IRN,2000,0.87
Iran,IRN,2001,1.61
Iran,IRN,2002,1.53
Iran,IRN,2003,1.38
Iran,IRN,2004,1.58
Iran,IRN,2005,1.88
Iran,IRN,2006,1.52
Iran,IRN,2007,1.26
Iran,IRN,2008,1.25
Iran,IRN,2009,1.43
Iran,IRN,2010,1.97
Iran,IRN,2011,0.44
Iran,IRN,2012,0.86
Iran,IRN,2013,1.32
Iran,IRN,2014,0.91
Iran,IRN,2015,1.56
Iran,IRN,2016,1.55
Iran,IRN,2017,1.75
Israel,ISR,1853,-0.03
Israel,ISR,1854,-0.37
Israel,ISR,1860,0.41
Israel,ISR,1869,0.92
Israel,ISR,1871,-0.13
Israel,ISR,1872,-0.08
Israel,ISR,1873,0.08
Israel,ISR,1874,-0.56
Israel,ISR,1875,-1.17
Israel,ISR,1876,-0.32
Israel,ISR,1877,0.38
Israel,ISR,1878,-0.03
Israel,ISR,1879,0.19
Israel,ISR,1880,-0.56
Israel,ISR,1881,-0.09
Israel,ISR,1882,-1.04
Israel,ISR,1883,-1.08
Israel,ISR,1884,-1.29
Israel,ISR,1885,-0.79
Israel,ISR,1886,-1.32
Israel,ISR,1887,-0.58
Israel,ISR,1888,-0.58
Israel,ISR,1889,-0.42
Israel,ISR,1890,-0.2
Israel,ISR,1891,-0.18
Israel,ISR,1892,-0.1
Israel,ISR,1893,-0.5
Israel,ISR,1894,-0.44
Israel,ISR,1895,-0.35
Israel,ISR,1896,-0.01
Israel,ISR,1897,-0.35
Israel,ISR,1898,-0.6
Israel,ISR,1899,-0.54
Israel,ISR,1900,-0.21
Israel,ISR,1901,0.13
Israel,ISR,1902,0.06
Israel,ISR,1903,-0.83
Israel,ISR,1904,-0.58
Israel,ISR,1905,-0.28
Israel,ISR,1906,-0.23
Israel,ISR,1907,-0.75
Israel,ISR,1908,-0.76
Israel,ISR,1909,0.13
Israel,ISR,1910,-0.47
Israel,ISR,1911,-0.54
Israel,ISR,1912,-0.26
Israel,ISR,1913,-0.5
Israel,ISR,1914,-0.25
Israel,ISR,1915,0.19
Israel,ISR,1916,0.42
Israel,ISR,1917,0.06
Israel,ISR,1918,0.05
Israel,ISR,1919,0.09
Israel,ISR,1920,-0.31
Israel,ISR,1921,-0.32
Israel,ISR,1922,0.25
Israel,ISR,1923,0.25
Israel,ISR,1924,0.35
Israel,ISR,1925,0.15
Israel,ISR,1926,0.09
Israel,ISR,1927,0.51
Israel,ISR,1928,0.63
Israel,ISR,1929,0.07
Israel,ISR,1930,0.45
Israel,ISR,1931,0.51
Israel,ISR,1932,0.31
Israel,ISR,1933,-0.03
Israel,ISR,1934,0.38
Israel,ISR,1935,0.61
Israel,ISR,1936,0.82
Israel,ISR,1937,0.76
Israel,ISR,1938,0.02
Israel,ISR,1939,0.64
Israel,ISR,1940,0.13
Israel,ISR,1941,0.62
Israel,ISR,1942,0.19
Israel,ISR,1943,0.11
Israel,ISR,1944,0.1
Israel,ISR,1945,-0.08
Israel,ISR,1946,0.52
Israel,ISR,1947,0.73
Israel,ISR,1948,-0.31
Israel,ISR,1949,-0.6
Israel,ISR,1950,-0.27
Israel,ISR,1951,0.47
Israel,ISR,1952,0.6
Israel,ISR,1953,-0.08
Israel,ISR,1954,0.23
Israel,ISR,1955,0.64
Israel,ISR,1956,-0.02
Israel,ISR,1957,0.05
Israel,ISR,1958,0.34
Israel,ISR,1959,-0.54
Israel,ISR,1960,0.75
Israel,ISR,1961,-0.12
Israel,ISR,1962,0.9
Israel,ISR,1963,0.73
Israel,ISR,1964,-0.3
Israel,ISR,1965,0.13
Israel,ISR,1966,0.69
Israel,ISR,1967,-0.56
Israel,ISR,1968,0.13
Israel,ISR,1969,0.5
Israel,ISR,1970,0.31
Israel,ISR,1971,-0.14
Israel,ISR,1972,-0.21
Israel,ISR,1973,-0.13
Israel,ISR,1974,-0.1
Israel,ISR,1975,-0.45
Israel,ISR,1976,-0.36
Israel,ISR,1977,-0.21
Israel,ISR,1978,-0.09
Israel,ISR,1979,0.51
Israel,ISR,1980,-0.02
Israel,ISR,1981,-0.05
