Entity,Code,Year,5_0_BattleDeath
411,DEU,2016,12
412,DJI,1989,6
413,DJI,1990,60
414,DJI,1991,74
415,DJI,1992,129
416,DJI,1993,33
417,DJI,1994,39
418,DJI,1995,17
419,DJI,1997,11
420,DJI,1998,16
421,DJI,1999,25
422,DJI,2008,35
423,DJI,2014,1
424,DJI,2018,6
425,DJI,2021,3
426,DZA,1990,1
427,DZA,1991,34
428,DZA,1992,274
429,DZA,1993,826
430,DZA,1994,1943
431,DZA,1995,3059
432,DZA,1996,1091
433,DZA,1997,2008
434,DZA,1998,3284
435,DZA,1999,1168
436,DZA,2000,1193
437,DZA,2001,674
438,DZA,2002,1058
439,DZA,2003,714
440,DZA,2004,500
441,DZA,2005,232
442,DZA,2006,292
443,DZA,2007,495
444,DZA,2008,345
445,DZA,2009,541
446,DZA,2010,252
447,DZA,2011,276
448,DZA,2012,264
449,DZA,2013,222
450,DZA,2014,111
451,DZA,2015,110
452,DZA,2016,89
453,DZA,2017,77
454,DZA,2018,35
455,DZA,2019,15
456,DZA,2020,28
457,DZA,2021,18
458,ECU,1995,11
459,ECU,2001,2
460,ECU,2003,26
461,ECU,2008,25
462,ECU,2019,2
463,ECU,2021,291
464,EGY,1990,4
465,EGY,1992,13
466,EGY,1993,108
467,EGY,1994,162
468,EGY,1995,233
469,EGY,1996,149
470,EGY,1997,143
471,EGY,1998,29
472,EGY,1999,4
473,EGY,2000,5
474,EGY,2004,35
475,EGY,2005,124
476,EGY,2006,2
477,EGY,2008,2
478,EGY,2009,1
479,EGY,2010,1
480,EGY,2011,31
481,EGY,2012,75
482,EGY,2013,135
483,EGY,2014,249
484,EGY,2015,991
485,EGY,2016,404
486,EGY,2017,902
487,EGY,2018,692
488,EGY,2019,665
489,EGY,2020,546
490,EGY,2021,124
491,ERI,1993,21
492,ERI,1996,14
493,ERI,1997,31
494,ERI,1998,792
495,ERI,1999,17203
496,ERI,2000,1793
497,ERI,2003,57
498,ERI,2008,0
499,ERI,2016,25
500,ESP,1989,17
501,ESP,1990,19
502,ESP,1991,44
503,ESP,1992,23
504,ESP,1993,12
505,ESP,1994,11
506,ESP,1995,13
507,ESP,1996,4
508,ESP,1997,12
509,ESP,1998,7
510,ESP,2000,20
511,ESP,2001,13
512,ESP,2002,5
513,ESP,2003,3
514,ESP,2004,191
515,ESP,2008,2
516,ESP,2009,3
517,ESP,2011,1
518,ESP,2017,16
519,ETH,1989,25385
520,ETH,1990,49856
521,ETH,1991,12440
522,ETH,1992,1026
523,ETH,1993,133
524,ETH,1994,76
525,ETH,1995,1043
526,ETH,1996,65
527,ETH,1997,12
528,ETH,1998,1027
529,ETH,1999,30786
530,ETH,2000,48666
531,ETH,2001,388
532,ETH,2002,809
533,ETH,2003,1093
534,ETH,2004,475
535,ETH,2005,290
536,ETH,2006,430
537,ETH,2007,500
538,ETH,2008,311
539,ETH,2009,590
540,ETH,2010,152
541,ETH,2011,66
542,ETH,2012,385
543,ETH,2013,88
544,ETH,2014,39
545,ETH,2015,307
546,ETH,2016,529
547,ETH,2017,475
548,ETH,2018,687
549,ETH,2019,378
550,ETH,2020,4833
551,ETH,2021,12919
552,FRA,1992,0
553,FRA,1995,8
554,FRA,1996,0
555,FRA,2007,2
556,FRA,2012,4
557,FRA,2015,133
558,FRA,2016,87
559,FRA,2017,2
560,FRA,2018,13
561,FSM,1992,585
562,GAB,1996,0
563,GAB,2004,1
564,GAB,2005,8
565,GAB,2012,1
566,GBR,1989,41
567,GBR,1990,47
568,GBR,1991,38
569,GBR,1992,39
570,GBR,1993,47
571,GBR,1994,16
572,GBR,1996,2
573,GBR,1997,5
574,GBR,1998,31
575,GBR,2000,1
576,GBR,2001,1
577,GBR,2002,3
578,GBR,2003,1
579,GBR,2004,1
580,GBR,2005,53
581,GBR,2006,0
582,GBR,2009,2
583,GBR,2011,1
584,GBR,2019,4
585,GBR,2020,1
586,GEO,1991,52
587,GEO,1992,775
588,GEO,1993,1837
589,GEO,1995,52
590,GEO,1997,26
591,GEO,1998,38
592,GEO,2002,0
593,GEO,2004,27
594,GEO,2008,621
595,GEO,2010,3
596,GEO,2011,0
597,GHA,1991,30
598,GHA,1992,63
599,GHA,1993,2
600,GHA,1994,2004
601,GHA,1995,155
602,GHA,2000,30
603,GHA,2001,50
604,GHA,2002,36
605,GHA,2008,55
606,GHA,2009,8
607,GHA,2010,1
608,GIN,1994,0
609,GIN,1996,27
610,GIN,1998,12
611,GIN,1999,13
612,GIN,2000,256
613,GIN,2001,430
614,GIN,2005,3
615,GIN,2006,15
616,GIN,2007,45
617,GIN,2009,160
618,GIN,2010,1
619,GIN,2011,25
620,GIN,2012,9
621,GIN,2013,98
622,GIN,2015,3
623,GIN,2019,1
624,GIN,2020,49
625,GIN,2021,1
626,GNB,1992,2
627,GNB,1998,505
628,GNB,1999,199
629,GNB,2000,0
630,GTM,1989,491
631,GTM,1990,681
632,GTM,1991,426
633,GTM,1992,393
634,GTM,1993,218
635,GTM,1994,287
636,GTM,1995,122
637,GTM,1996,20
638,GTM,1997,2
639,GTM,1998,1
640,GTM,2001,5
641,GTM,2002,2
642,GTM,2004,1
643,GTM,2005,58
644,GTM,2007,5
645,GTM,2008,41
646,GTM,2009,1
647,GTM,2011,27
648,GTM,2015,20
649,GUY,2008,29
650,HND,1999,9
651,HND,2000,6
652,HND,2002,1
653,HND,2003,47
654,HND,2004,30
655,HND,2008,18
656,HND,2010,58
657,HND,2011,18
658,HND,2012,18
659,HND,2014,21
660,HND,2016,10
661,HND,2019,4
662,HND,2020,1
663,HND,2021,5
664,HRV,1992,142
665,HRV,1993,373
666,HRV,1995,963
667,HTI,1989,48
668,HTI,1990,2
669,HTI,1991,270
670,HTI,1993,37
671,HTI,1994,44
672,HTI,1995,1
673,HTI,1999,11
674,HTI,2004,231
675,HTI,2005,40
676,HTI,2017,8
677,HTI,2018,71
678,HTI,2019,1
679,HTI,2020,163
680,HTI,2021,126
681,IDN,1989,7
682,IDN,1990,231
683,IDN,1991,473
684,IDN,1992,57
685,IDN,1993,180
686,IDN,1994,28
687,IDN,1995,80
688,IDN,1996,68
689,IDN,1997,478
690,IDN,1998,110
691,IDN,1999,1824
692,IDN,2000,958
693,IDN,2001,946
694,IDN,2002,762
695,IDN,2003,1070
696,IDN,2004,1082
697,IDN,2005,295
698,IDN,2006,74
699,IDN,2007,88
700,IDN,2008,123
701,IDN,2009,167
702,IDN,2010,101
703,IDN,2011,229
704,IDN,2012,18
705,IDN,2013,31
706,IDN,2014,17
707,IDN,2015,29
708,IDN,2016,69
709,IDN,2017,60
710,IDN,2018,124
711,IDN,2019,328
712,IDN,2020,268
713,IDN,2021,135
714,IND,1989,1851
715,IND,1990,4734
716,IND,1991,3724
717,IND,1992,4161
718,IND,1993,2326
719,IND,1994,1435
720,IND,1995,1079
721,IND,1996,1333
722,IND,1997,1448
723,IND,1998,1623
724,IND,1999,2563
725,IND,2000,4093
726,IND,2001,1730
727,IND,2002,3035
728,IND,2003,2426
729,IND,2004,1642
730,IND,2005,2015
731,IND,2006,2155
732,IND,2007,1720
733,IND,2008,1856
734,IND,2009,1621
735,IND,2010,1633
736,IND,2011,798
737,IND,2012,801
738,IND,2013,702
739,IND,2014,734
740,IND,2015,622
741,IND,2016,761
742,IND,2017,847
743,IND,2018,950
744,IND,2019,734
745,IND,2020,754
746,IND,2021,523
747,IRQ,1989,50
748,IRQ,1990,117
749,IRQ,1991,24486
750,IRQ,1992,833
751,IRQ,1993,366
752,IRQ,1994,973
753,IRQ,1995,1437
754,IRQ,1996,813
755,IRQ,1997,2348
756,IRQ,1998,96
757,IRQ,1999,308
758,IRQ,2000,193
759,IRQ,2001,56
760,IRQ,2002,111
761,IRQ,2003,8021
762,IRQ,2004,4366
763,IRQ,2005,3521
764,IRQ,2006,4598
765,IRQ,2007,4489
766,IRQ,2008,2765
767,IRQ,2009,1720
768,IRQ,2010,1857
769,IRQ,2011,1399
770,IRQ,2012,1407
771,IRQ,2013,4010
772,IRQ,2014,16437
773,IRQ,2015,11303
774,IRQ,2016,12025
775,IRQ,2017,11400
776,IRQ,2018,1443
777,IRQ,2019,916
778,IRQ,2020,925
779,IRQ,2021,986
780,ISR,1989,93
781,ISR,1990,43
782,ISR,1991,47
