year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,
2011,145,145,145,3,SDN,
2011,105,105,143,3,SSD,
2011,111,111,183,3,SSD,
2012,137,137,137,3,SSD,
2011,3049,3010,5308,4,LBY,
2012,660,611,761,4,COD : RWA,
2013,1152,1142,1162,4,COD : RWA,
2017,28,28,32,4,COD ,
2021,35,35,35,4,COD ,
2012,25,25,25,3,DZA,
2012,131,126,309,3,MLI,
2014,94,94,102,3,MLI,
2015,54,53,72,4,MLI,
2012,60,56,181,3,MLI,
2013,133,133,175,4,MLI,
2015,36,36,65,4,MLI,
2016,70,70,80,4,MLI,
2012,27,27,89,3,MLI,
2011,67,67,110,3,SDN,
2012,1173,1123,1803,3,SDN,
2013,594,528,3784,3,SDN,
2014,489,486,2514,3,SSD: SDN,
2015,1169,1169,2083,3,SSD: SDN,
2016,823,817,1439,3,SDN,
2017,65,53,258,3,SDN,
2012,367,367,1099,2,SSD: SDN,
2008,36,36,39,3,CHN,
2005,30,29,31,3,BGD,
2006,57,57,58,3,BGD,
2013,94,90,115,4,COD ,
2014,60,30,60,4,COD ,
2020,54,41,77,4,COD ,
2001,2044,349,2074,3,RWA,
2002,83,83,83,3,"BDI: COD"" """,
2009,1824,1720,2077,4,COD ,
2010,208,207,219,4,COD ,
2011,116,101,118,4,COD ,
2012,83,59,99,4,COD : RWA,
2016,136,136,136,4,COD ,
2019,60,60,60,4,COD ,
2020,52,51,55,4,COD ,
1991,600,600,800,3,ETH,
2013,70,68,122,3,MYS: PHL,
1992,419,419,1530,4,TJK,
2000,46,46,46,3,TJK,
2010,32,27,44,3,TJK,
2013,262,240,326,3,CAF,
2014,136,136,148,4,CAF,
2017,35,35,35,4,CAF,
2018,48,47,48,4,CAF,
2015,27,27,27,4,CAF,
2013,850,850,2188,3,SSD,
2014,1667,719,2993,4,SSD,
2015,493,492,522,4,SSD,
2016,735,734,1155,3,SSD,
2017,484,478,684,3,SSD: UGA,
2018,526,497,727,3,SSD,
2015,712,712,712,4,CMR,
2016,32,32,32,3,CMR,
2017,63,63,63,3,CMR,
2020,28,28,34,3,CMR,
2013,92,92,92,3,COD ,
2014,184,184,184,3,EGY,
2019,31,31,46,3,IRN,
2013,333,333,362,4,MLI: NER,
2009,87,54,93,3,MLI,
2013,305,305,378,4,MLI,
2014,47,47,80,4,MLI,
2015,38,36,44,4,MLI,
2016,26,26,31,4,MLI,
2017,66,66,78,4,MLI,
2013,65,65,89,4,MLI: NER,
2014,48,48,49,4,MLI,
2012,46,39,51,3,SYR,
2013,78,63,77,3,SYR,
2014,52,37,61,3,SYR,
2015,84,81,86,3,SYR,
2004,1258,1258,1903,4,IRQ,
2007,371,315,440,4,IRQ,
2008,866,856,1250,4,IRQ,
2014,131,131,131,3,LBY,
2015,156,156,190,3,LBY,
2017,166,166,166,3,LBY,
