year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,
2010,367,367,373,3,COL,
2011,202,202,208,3,COL,
2012,211,211,310,3,COL,
2013,113,113,156,3,COL,
2014,119,119,119,3,COL,
2015,84,84,84,3,COL,
1989,142,141,160,3,COL,
1990,115,115,115,3,COL,
1991,59,59,73,3,COL,
1992,75,75,75,3,COL,
1993,52,52,52,3,COL,
1994,41,41,43,3,COL,
1995,53,53,53,3,COL,
1996,307,307,307,3,COL,
1997,118,118,118,3,COL,
1998,63,63,63,3,COL,
1999,214,214,244,3,COL,
2000,298,298,317,3,COL,
2001,374,374,378,3,COL,
2002,539,539,539,3,COL,
2003,77,77,79,3,COL,
2004,240,240,240,3,COL,
2005,167,167,168,3,COL,
2006,34,34,34,3,COL,
2008,27,27,36,3,COL,
2010,52,52,52,3,COL,
2013,27,27,27,3,COL,
2015,50,50,56,3,COL,
2016,30,30,30,3,COL,
2018,55,55,55,3,COL,
2019,65,65,69,3,COL,
2021,48,48,55,3,COL,
1989,33,33,33,3,COL,
1990,35,35,35,3,COL,
2018,25,24,41,3,IDN,
2021,51,24,59,3,IDN,
1989,1650,1650,1661,3,PER,
1990,1052,1052,1052,3,PER,
1991,1050,1050,1051,3,PER,
1992,975,975,977,3,PER,
1993,612,612,617,3,PER,
1994,253,253,253,3,PER,
1995,178,178,178,3,PER,
1996,80,80,80,3,PER,
1997,93,93,99,3,PER,
1998,25,25,25,3,PER,
1999,75,75,75,3,PER,
2007,32,32,32,3,PER,
2008,40,40,40,3,PER,
2009,50,50,80,3,PER,
2010,28,28,28,3,PER,
1989,177,160,177,3,PER,
1990,47,47,47,3,PER,
1991,88,88,88,3,PER,
1992,61,61,61,3,PER,
1993,60,60,60,3,PER,
2011,29,29,36,2,KHM : THA,
2009,405,402,835,3,NGA,
2011,325,267,547,3,NGA,
2012,811,811,1155,4,NGA,
2013,1629,1474,2081,4,NGA,
2014,4780,4725,5208,4,CMR: NGA,
2015,2703,2703,3025,4,TCD: NER: NGA,
2016,164,164,180,4,NGA,
2017,1062,1061,1114,4,NGA,
2018,335,322,455,4,NGA,
2019,313,305,369,3,NGA,
2020,442,403,503,4,NGA,
2021,273,266,304,4,NGA,
1989,404,404,1894,4,KHM : THA,
1990,174,168,557,3,KHM ,
1991,40,40,99,3,KHM ,
1992,118,118,118,3,KHM ,
1993,274,274,393,3,KHM ,
1994,464,404,1126,3,KHM ,
1995,694,684,1105,3,KHM ,
1996,788,788,1007,3,KHM ,
1997,117,117,206,3,KHM ,
1998,127,127,155,3,KHM : THA,
1989,271,271,401,4,KHM ,
1990,100,100,100,3,KHM ,
1991,30,30,102,3,KHM ,
1989,143,143,143,4,KHM ,
1991,150,150,250,3,KHM ,
2000,217,182,522,3,GIN,
2001,432,432,778,3,GIN: LBR: SLE,
1989,115,115,115,3,PHL,
1990,64,64,64,3,PHL,
1993,124,124,147,3,PHL,
1990,77,77,77,3,PHL,
1994,104,104,121,3,PHL,
1996,135,135,136,3,PHL,
1997,201,161,275,3,PHL,
1998,38,38,38,3,PHL,
1999,106,73,135,3,PHL,
2000,1055,1038,1129,3,PHL,
2001,129,129,141,3,PHL,
2002,129,129,146,3,PHL,
2003,690,572,899,3,PHL,
2004,30,27,48,3,PHL,
2005,39,37,54,3,PHL,
2007,49,49,54,3,PHL,
2008,297,297,546,3,PHL,
2009,318,312,345,3,PHL,
2011,83,83,86,3,PHL,
2015,65,65,83,3,PHL,
1993,30,30,31,3,PHL,
1994,92,92,92,3,PHL,
1995,116,116,122,3,PHL,
1996,45,45,48,3,PHL,
1997,69,69,73,3,PHL,
1998,55,55,55,3,PHL,
2000,372,367,430,3,PHL,
2001,327,327,443,3,PHL,
2002,253,253,270,3,PHL,
2003,128,121,135,3,PHL,
2004,39,39,51,3,PHL,
2005,165,164,174,3,PHL,
2006,50,50,116,3,PHL,
2007,233,233,247,3,PHL,
2009,199,189,203,3,PHL,
2010,74,74,85,3,PHL,
2011,63,63,85,3,PHL,
2012,78,72,80,3,PHL,
2013,48,48,48,3,PHL,
2014,142,142,143,3,PHL,
2015,161,151,178,3,PHL,
2016,145,132,151,3,PHL,
2017,84,84,90,4,MYS: PHL,
2018,56,56,56,3,PHL,
2019,35,35,35,3,PHL,
2020,108,108,109,3,PHL,
2001,196,99,213,3,PHL,
2005,32,32,59,3,PHL,
2013,239,239,239,3,PHL,
2007,25,25,25,3,PHL,
1989,4253,4253,5253,3,SDN: UGA,
1990,4335,4335,4335,3,SDN: UGA,
1991,1317,1317,4317,3,SDN: UGA,
1992,1083,1083,4083,3,SDN,
1993,942,942,942,3,SDN,
1994,337,337,337,3,SDN,
1995,1000,1000,1882,3,SDN,
1996,2152,2152,2152,3,SDN,
1997,3005,3005,6516,3,SDN,
1998,4211,4211,4807,3,SDN,
1999,1000,1000,1189,3,SDN,
2000,1930,1930,2699,3,SDN,
2001,3357,3357,3607,3,SDN,
2002,2021,2021,3021,3,SDN,
2003,44,44,120,3,SDN,
2004,253,253,367,3,SDN,
1996,137,137,139,3,SDN,
1997,704,704,712,3,SDN,
1998,680,680,765,3,SDN,
1999,408,408,408,3,SDN,
2000,911,911,911,3,SDN,
2001,51,51,51,3,SDN,
2003,900,900,918,4,SDN,
2004,37,37,477,3,SDN,
2007,131,123,134,3,SDN,
2008,422,422,636,3,SDN,
2009,304,304,304,3,TCD: SDN,
2010,717,717,999,3,SDN,
2011,63,63,70,3,SDN,
2003,1055,955,1818,4,SDN,
2004,2988,2988,3744,3,SDN,
2005,161,161,191,3,SDN,
2006,58,58,58,3,SDN,
2008,140,140,429,3,SDN,
2009,49,49,66,3,SDN,
2010,203,203,590,3,SDN,
2011,127,127,194,3,SDN,
2017,50,50,50,3,SDN,
2018,243,191,500,3,SDN,
2020,45,45,48,3,SDN,
2021,31,31,72,3,SDN,
2006,810,810,2524,3,SDN,
2006,134,134,137,3,SDN,
2007,86,78,88,3,SDN,
2008,36,36,411,3,SDN,
2010,90,90,299,3,SDN,
2011,492,492,562,3,SDN,
1989,388,388,517,3,LKA,
1990,61,61,61,3,LKA,
1989,453,453,474,3,UGA,
1990,544,544,544,3,UGA,
1991,37,37,37,3,UGA,
1992,72,72,72,3,UGA,
1989,566,566,566,3,UGA,
1990,77,77,89,3,UGA,
1991,816,816,816,3,UGA,
1994,149,149,226,3,UGA,
1995,295,295,332,3,SDN: UGA,
1996,659,659,1005,3,UGA,
1997,502,502,763,3,SDN: UGA,
1998,551,551,654,3,UGA,
2000,164,164,181,3,UGA,
2001,110,110,158,3,SDN: UGA,
2002,1010,1010,1805,3,SDN: UGA,
2003,642,641,1100,3,SDN: UGA,
2004,1610,1609,2215,3,SDN: UGA,
2005,695,695,814,4,SDN: UGA,
2006,221,221,318,3,COD : SDN: UGA,
2008,53,53,66,4,COD : SDN,
2009,238,238,263,4,CAF: COD: SDN,
2010,51,51,69,4,CAF: COD: SDN,
2011,64,64,66,4,CAF: COD: SSD: SDN,
2013,47,47,47,4,CAF: COD,
2014,29,29,29,4,CAF: COD,
1996,383,383,383,3,COD: UGA,
1997,351,351,381,3,UGA,
1998,284,284,394,3,COD : UGA,
1999,355,355,355,3,COD : UGA,
2000,224,224,226,3,COD : UGA,
2001,79,79,79,3,COD : UGA,
2002,76,76,76,3,COD : UGA,
2007,91,91,147,3,UGA,
2010,69,69,69,4,COD ,
2011,72,72,80,4,COD ,
2013,53,53,71,4,COD ,
2014,835,835,1004,4,COD ,
2015,197,163,228,4,COD ,
2016,152,152,153,4,COD ,
2017,237,237,245,4,COD ,
2018,378,303,389,4,COD ,
2019,165,130,173,4,COD ,
1996,198,198,198,3,UGA,
1997,35,35,35,3,UGA,
1989,38,38,39,3,DEU: GBR,
1990,44,44,46,3,DEU: NLD: GBR,
1991,26,26,27,3,GBR,
1998,29,29,29,3,GBR,
1989,4924,4924,4952,3,SLV,
1990,849,849,999,3,SLV,
1991,88,88,93,3,SLV,
1989,26,26,26,3,BGD,
1990,45,45,45,3,BGD,
1991,25,22,45,3,BGD,
2012,25,25,35,3,PAK,
2015,44,44,44,3,PAK,
2004,43,43,58,3,PAK,
2006,43,43,52,3,PAK,
2007,83,82,331,3,PAK,
2008,54,54,86,3,PAK,
2009,32,32,48,3,PAK,
2011,42,42,123,3,PAK,
2012,31,31,31,3,PAK,
2013,45,45,45,3,PAK,
2014,46,46,46,3,PAK,
2015,31,31,31,3,PAK,
2016,59,59,59,3,PAK,
2006,157,157,157,3,PAK,
2008,143,132,147,3,PAK,
2009,49,49,54,3,PAK,
2012,62,62,296,3,PAK,
2014,44,44,44,3,PAK,
2015,32,32,32,3,PAK,
1997,31,31,117,3,ERI,
1999,25,25,239,3,ERI,
2003,57,57,57,3,ERI,
1989,2810,2810,6283,4,AGO,
1990,2558,2557,4452,3,AGO,
1991,491,491,647,3,AGO,
1992,2321,2321,3572,3,AGO,
1993,12054,12054,23329,3,AGO,
1994,3924,3920,11087,3,AGO: COD ,
1995,162,162,522,3,AGO,
1998,1041,1041,1516,3,AGO,
1999,2273,2273,6431,4,AGO: NAM,
2000,1000,407,3799,4,AGO: NAM,
2001,1123,1123,2447,4,AGO,
2002,470,466,470,4,AGO: NAM,
1993,36,36,36,3,ETH,
1996,186,186,325,3,ETH: SOM,
1999,25,25,92,3,ETH: SOM,
1994,50,50,50,3,ETH,
1996,25,25,156,3,ETH,
1998,25,6,90,3,ETH,
1999,25,25,548,3,ETH: SOM,
2000,25,0,855,3,ETH,
2001,25,25,117,3,ETH,
2002,25,25,637,3,ETH,
2003,25,25,260,3,ETH,
2004,25,25,525,3,ETH: SOM,
2005,58,58,695,3,ETH,
2006,25,0,818,3,ETH,
2007,152,152,737,3,ETH,
2008,25,25,416,3,ETH,
2009,473,473,995,3,ETH,
2010,126,123,1860,3,ETH: SOM,
2011,25,25,379,3,ETH: KEN,
2012,25,25,406,3,ETH,
2013,52,52,908,3,ETH,
2014,25,25,222,3,ETH,
2015,25,0,138,3,ETH,
2016,25,0,50,3,ETH,
1992,39,39,39,3,IDN,
1997,51,51,79,3,IDN,
1998,30,14,48,3,IDN,
1999,26,26,30,3,IDN,
1989,207,207,378,3,MAR,
1989,1149,1144,3750,4,MOZ,
1990,1577,327,1577,4,MOZ,
1991,1326,326,2389,3,MOZ,
1992,309,309,445,3,MOZ,
2013,42,29,112,3,MOZ,
2014,30,22,35,3,MOZ,
2016,55,46,64,3,MOZ,
1989,1545,1374,1745,4,AFG,
1990,581,515,1231,3,AFG,
1991,385,334,385,3,AFG,
1992,35,35,35,3,AFG,
1996,314,314,314,3,AFG,
1989,181,1,181,4,AFG,
1990,586,586,586,3,AFG,
1991,451,451,951,3,AFG,
1992,3890,3873,5047,3,AFG,
1993,3160,3160,7234,3,AFG,
1994,669,669,907,3,AFG,
1995,207,207,207,3,AFG,
2002,30,30,30,3,AFG,
2003,32,32,45,4,AFG,
2006,40,40,60,3,AFG,
2008,97,92,117,4,AFG: PAK,
2009,54,54,70,4,AFG,
2010,98,97,101,4,AFG,
2011,49,48,52,4,AFG,
2013,35,35,35,4,AFG,
1989,3393,474,14991,4,AFG,
1990,178,89,220,3,AFG,
1991,2441,2346,2441,3,AFG,
1989,30,30,30,4,AFG,
1989,25,25,104,4,AFG,
1990,25,25,25,3,AFG,
1991,25,25,25,3,AFG,
1992,351,351,378,3,AFG,
1993,476,468,486,3,AFG,
1994,191,191,946,3,AFG,
1995,168,168,168,3,AFG,
1990,108,108,213,3,AFG,
1993,85,85,85,3,AFG,
1994,8077,8077,10102,3,AFG,
1995,871,871,1181,3,AFG,
1995,4270,4270,4934,3,AFG: PAK,
1996,1922,1912,2183,3,AFG,
2003,628,614,939,4,AFG,
2004,711,669,1245,4,AFG: PAK,
2005,1628,1424,1992,4,AFG: PAK,
2006,4694,4625,5483,4,AFG: PAK,
2007,6843,6298,8381,4,AFG: PAK,
2008,5558,5112,7072,4,AFG: PAK,
2009,6327,5596,7984,4,AFG: PAK,
2010,6931,6759,8350,4,AFG: PAK,
2011,7374,7231,8238,4,AFG: PAK,
2012,7730,7558,8541,4,AFG: PAK,
2013,8013,7577,10137,4,AFG: PAK,
2014,12345,11555,15718,4,AFG: PAK,
2015,16581,15562,19807,4,AFG: PAK,
2016,15775,14410,21671,4,AFG: PAK,
2017,16173,15398,17678,4,AFG: PAK,
2018,22837,21486,24780,4,AFG: PAK,
2019,28828,26973,33289,4,AFG,
2020,20104,18641,21314,4,AFG,
2021,34794,33327,37714,4,AFG,
1996,941,935,1141,3,AFG,
1997,6396,4244,8281,3,AFG,
1998,6256,6168,7698,3,AFG,
1999,4629,4594,4945,3,AFG,
2000,5235,4053,5511,3,AFG,
2001,2328,2217,7657,4,AFG,
1992,29,29,31,3,IND,
1997,32,12,32,3,IND,
1997,40,40,40,3,IND,
1999,32,38,38,3,IND,
2000,61,59,64,3,IND,
2001,32,32,32,3,IND,
2002,40,40,40,3,IND,
2003,32,32,32,3,IND,
1989,526,526,533,3,NIC,
1990,39,39,43,3,NIC,
1989,350,350,4254,3,DJI: SOM,
1990,1229,163,1229,3,DJI: SOM,
1991,300,25,300,3,SOM,
1989,29,29,250,3,SOM,
1990,25,22,75,3,SOM,
1991,705,705,705,3,SOM,
1990,1456,1456,1658,3,SOM,
1991,3000,3000,3000,3,SOM,
1991,4000,3500,5000,3,SOM,
1992,1154,1154,9823,3,SOM,
1993,25,18,25,3,SOM,
1994,237,237,614,3,SOM,
1995,104,97,108,3,SOM,
1996,256,255,308,3,SOM,
2001,228,223,268,3,SOM,
2002,114,113,207,3,SOM,
2006,547,463,1293,4,SOM,
2007,1546,1528,2046,4,KEN: SOM,
2008,207,203,436,4,SOM,
2008,1284,1230,1639,4,SOM,
2009,1399,1199,1682,4,SOM,
2010,2068,1839,2270,4,SOM,
2011,1938,1559,2259,4,KEN: SOM,
2012,2646,2470,2945,4,KEN: SOM,
2013,940,760,1769,4,ETH: KEN: SOM,
2014,1153,905,2303,4,ETH: KEN: SOM,
2015,1202,927,2498,4,KEN: SOM,
2016,1925,1199,3119,4,SOM,
2017,1918,1778,2601,4,SOM,
2018,2087,1814,2958,4,SOM,
2019,1912,1662,2397,4,SOM,
2020,1901,1862,2188,4,SOM,
2021,2119,2110,2645,4,ETH: SOM,
2009,68,64,69,4,SOM,
2010,82,76,85,4,SOM,
1991,45,45,45,3,IRN: IRQ,
1993,76,76,152,3,IRN: IRQ: ITA: PAK,
1997,38,38,42,3,IRN: IRQ,
1999,28,28,35,3,IRN: IRQ,
2000,40,40,77,3,IRN: IRQ,
2001,119,119,149,3,IRN: IRQ,
2005,28,28,37,3,IRN,
2006,31,26,68,3,IRN: IRQ,
2007,61,40,131,3,IRN: IRQ,
2008,42,42,178,3,IRN: IRQ,
2009,67,67,67,3,IRN,
2011,242,235,246,3,IRN: IRQ,
2018,28,27,37,3,IRN: IRQ,
2020,35,27,44,3,IRN: IRQ,
2021,30,18,30,3,IRN: IRQ,
2006,26,26,55,3,IRN,
2007,25,21,69,3,IRN,
2008,79,79,87,3,IRN: PAK,
2009,66,54,81,3,IRN,
2010,74,74,74,3,IRN,
1989,27,27,27,3,LBR,
1990,236,236,280,3,CIV: LBR,
1990,111,111,151,3,LBR,
2000,57,57,57,3,LBR,
2001,341,341,341,3,LBR,
2002,492,391,517,3,LBR,
2003,1711,1711,1811,3,LBR,
2003,76,76,76,3,LBR,
1991,44,44,44,3,Spain,
1995,25,25,25,3,IND,
1996,28,28,28,3,IND,
1998,25,25,25,3,IND,
2000,29,29,29,3,IND,
2004,26,26,26,3,IND,
2006,42,41,42,3,IND,
1993,25,25,25,3,IND,
1994,25,25,25,3,IND,
1999,31,31,31,3,IND,
2000,31,31,35,3,IND,
2003,27,27,27,3,IND,
2004,34,34,34,3,IND,
2005,47,47,53,3,IND,
2006,31,28,33,3,IND,
2007,45,45,73,3,IND,
2009,29,26,35,3,IND,
2008,63,63,64,3,IND,
2009,29,8,41,3,IND,
2008,36,36,36,3,IND,
2009,38,25,38,3,IND,
1989,905,905,928,3,IND,
1990,1839,1839,1882,3,IND,
1991,2673,2673,2739,3,IND,
1992,2390,2390,2444,3,IND,
1993,358,358,360,3,IND,
1989,34,34,34,3,LKA,
1990,3561,3561,4600,3,LKA,
1991,6432,6432,6787,3,LKA,
1992,4091,4091,4247,3,LKA,
1993,2075,2075,2347,3,LKA,
1994,657,657,746,3,LKA,
1995,4755,4748,5062,3,LKA,
1996,3868,3868,4254,3,FRA: LKA,
1997,2880,2880,3959,3,LKA,
1998,3762,3763,4420,3,LKA,
1999,1882,1882,2616,3,LKA,
2000,2525,2525,4155,3,LKA,
2001,1144,1144,1145,3,LKA,
2003,29,17,46,3,LKA,
2005,88,88,90,3,LKA,
2006,1970,1970,2845,3,LKA,
2007,2494,2391,3070,3,LKA,
2008,8262,8262,9917,3,LKA,
2009,10165,10136,13702,3,LKA,
1989,111,111,111,3,LKA,
1989,442,442,442,3,TUR,
1990,526,514,525,3,TUR,
1991,353,352,357,3,IRQ: TUR,
1992,1637,1637,1717,3,IRQ: TUR,
1993,2301,2301,2589,3,TUR,
1994,4105,4104,4207,3,IRQ: TUR,
1995,3170,3170,3264,3,IRQ: TUR,
1996,3514,3514,3548,3,IRQ: TUR,
1997,4336,4335,5558,3,IRQ: TUR,
1998,2043,2042,2127,3,IRQ: TUR,
1999,1400,1400,1477,3,IRQ: TUR,
2000,176,176,180,3,IRQ: TUR,
2001,132,132,147,3,IRQ: TUR,
2002,54,54,73,3,IRQ: TUR,
2003,82,82,85,3,IRQ: TUR,
2004,195,195,333,3,IRQ: TUR,
2005,263,258,294,3,TUR,
2006,225,225,276,3,TUR,
2007,499,499,521,3,IRQ: TUR,
2008,588,550,974,3,IRQ: TUR,
2009,147,142,162,3,IRQ: TUR,
2010,352,343,410,3,IRQ: TUR,
2011,592,591,759,3,IRQ: TUR,
2012,853,853,866,3,IRQ: TUR,
2013,31,31,35,3,IRQ: TUR,
2015,907,902,1402,3,IRQ: TUR,
2016,1063,1063,1073,3,IRQ: TUR,
2017,707,707,722,3,IRQ: SYR: TUR,
2018,895,887,903,3,IRN: IRQ: TUR,
2019,542,542,623,3,IRQ: TUR,
2020,375,372,391,3,IRQ: TUR,
2021,447,438,545,3,IRQ: SYR: TUR,
1989,29,29,30,3,Comoros,
1996,25,25,25,3,ETH,
1990,407,402,586,3,IND,
1991,330,330,551,3,IND,
1992,265,265,337,3,IND,
1993,846,845,1159,3,IND,
1994,958,955,1148,3,IND,
1995,687,687,894,3,IND,
1996,489,489,1232,3,IND,
1997,533,533,555,3,IND,
1998,576,576,701,3,IND,
1999,864,844,876,3,IND,
2000,2353,2341,2408,3,IND: PAK,
2001,739,668,3465,3,IND,
2002,1493,1493,1493,3,IND,
2003,1312,1306,1402,3,IND,
2004,1001,991,1054,3,IND,
2005,1058,1055,1139,3,IND,
2006,705,698,728,3,IND,
2007,550,540,562,3,IND,
2008,500,482,525,3,IND,
2009,361,358,393,3,IND,
2010,370,365,437,3,IND,
2011,140,140,147,3,IND,
2012,144,143,147,3,IND,
2013,146,140,147,3,IND,
2014,179,178,228,3,IND,
2015,165,164,170,3,IND,
2016,281,281,296,3,AFG: IND,
2017,322,322,322,3,IND,
2018,386,387,391,3,IND,
2019,267,266,276,3,IND,
2020,311,311,312,3,IND: PAK,
2021,250,247,254,3,IND: PAK,
1990,30,6,30,3,IND,
1994,25,25,126,3,IND,
1995,29,17,78,3,IND,
1996,48,48,53,3,IND,
1997,112,112,119,3,IND,
1998,55,55,57,3,IND,
1999,53,53,58,3,IND,
2000,87,76,87,3,IND,
2001,113,113,124,3,IND,
2002,59,59,59,3,IND,
2003,43,43,58,3,IND,
2004,70,69,74,3,IND,
2005,78,77,78,3,IND,
2006,49,49,50,3,IND,
2007,114,114,120,3,IND,
2008,75,75,78,3,IND,
2009,63,61,65,3,IND,
2010,32,32,33,3,IND,
1990,72,61,127,3,IDN,
1991,58,57,133,3,IDN,
1999,187,179,258,3,IDN,
2000,286,242,332,3,IDN,
2001,278,254,306,3,IDN,
2002,466,429,571,3,IDN,
2003,868,839,1365,3,IDN,
2004,935,932,1075,3,IDN,
2005,213,213,215,3,IDN,
1989,77,24,233,3,PAN,
1989,843,745,2001,2,PAN,
1990,55,55,65,3,PNG,
1992,35,35,55,3,PNG: SLB,
1993,34,34,62,3,PNG,
1994,26,26,26,3,PNG,
1995,29,29,31,3,PNG,
1996,78,78,80,3,PNG,
1989,196,196,446,3,ROU,
1990,1058,1058,1058,2,KWT,
1991,21790,21747,26203,2,IRQ: KWT,
1990,457,457,467,3,MLI,
1994,106,106,106,3,MLI,
2007,39,39,39,3,MLI,
2008,112,112,127,3,MLI,
2009,39,39,39,3,MLI,
1994,50,50,90,3,NER,
1990,1126,1098,2338,4,RWA,
1991,153,150,1977,3,RWA,
1992,87,87,1390,3,RWA,
1993,353,353,403,3,RWA,
1994,1208,1107,1399,3,RWA,
1996,90,90,390,3,RWA,
1997,636,636,1024,3,COD : RWA,
1998,1096,1096,1901,3,COD : RWA,
1999,315,115,315,3,COD ,
2000,155,155,294,3,COD ,
1990,58,58,58,3,SEN,
1992,78,78,78,3,GNB: SEN,
1993,233,233,243,3,SEN,
1995,299,299,303,3,SEN,
1997,319,319,319,3,SEN,
1998,242,242,252,3,SEN,
2000,47,47,52,3,GNB: SEN,
2001,33,33,223,3,SEN,
2003,39,38,39,3,SEN,
2011,25,25,43,3,SEN,
1990,49,49,64,3,RUS ,
1991,220,220,501,3,RUS ,
1990,143,29,338,3,RUS ,
1990,39,32,55,3,TTO,
1991,59,59,239,3,DJI,
1992,129,44,757,3,DJI,
1993,33,33,107,3,DJI,
1994,39,39,46,3,DJI,
1999,25,25,57,3,DJI,
1991,52,52,170,3,GEO,
1992,71,71,76,3,GEO,
1993,152,152,152,3,GEO,
1989,48,21,57,3,HTI,
1991,160,55,359,3,HTI,
2004,146,69,334,3,HTI,
2004,61,61,182,3,HTI,
1991,552,551,1263,4,SLE,
1992,218,218,342,4,SLE,
1993,415,415,1088,4,LBR: SLE,
1994,628,628,779,4,SLE,
1995,1472,1472,2052,4,SLE,
1996,570,570,735,4,SLE,
1997,47,47,48,4,SLE,
1998,802,802,1020,4,SLE,
1999,457,457,818,4,SLE,
2000,355,355,614,4,SLE,
2001,48,48,92,3,SLE,
1997,40,40,40,3,SLE,
1998,2103,2101,2645,4,SLE,
1999,2696,2696,4832,4,SLE,
1997,661,660,1464,4,SLE,
1998,382,382,532,4,SLE,
2000,27,27,28,4,SLE,
1991,39,39,39,3,TUR,
1992,71,71,71,3,TUR,
1993,32,32,32,3,TUR,
2005,30,30,30,3,TUR,
1991,64,64,64,3,SRB ,
1991,25,25,25,3,SRB ,
1991,2933,2860,4376,3,SRB ,
1992,153,153,163,3,SRB ,
1991,34,34,34,3,DZA,
1992,257,257,336,3,DZA,
1993,775,775,835,3,DZA,
1994,1346,1346,1469,3,DZA,
1995,25,1,151,3,DZA,
1996,25,19,153,3,DZA,
1997,40,40,220,3,DZA,
1993,25,25,25,3,DZA,
1994,570,570,610,3,DZA,
1995,2983,2983,5940,3,DZA,
1996,1059,1059,1354,3,DZA,
1997,1363,1363,1841,3,DZA,
1998,3029,3029,3665,3,DZA,
1999,965,965,993,3,DZA,
2000,26,26,26,3,DZA,
2001,136,136,150,3,DZA,
2002,35,35,35,3,DZA,
2003,25,25,25,3,DZA,
1999,66,66,66,3,DZA,
2000,921,921,1000,3,DZA,
2001,506,506,716,3,DZA,
2002,504,504,505,3,DZA,
2003,645,645,661,3,DZA,
2004,451,451,467,4,DZA: TCD: NER,
2005,229,228,262,3,DZA: MLI,
2006,255,255,286,3,DZA,
2007,472,471,518,3,DZA,
2008,339,339,410,3,DZA,
2009,505,493,674,3,DZA,
2010,236,236,276,3,DZA,
2011,267,259,273,3,DZA,
2012,231,225,285,3,DZA,
2013,147,147,165,3,DZA,
2014,107,83,147,3,DZA,
2015,84,81,91,3,DZA,
2016,86,82,91,3,DZA,
2017,60,60,73,3,DZA,
2018,33,33,37,3,DZA,
2020,26,26,26,3,DZA,
1991,25,6,41,3,AGO,
1994,25,0,74,3,AGO,
1997,25,4,42,3,AGO,
2002,25,1,37,3,AGO,
1992,25,2,128,3,AGO,
1994,25,4,80,3,AGO,
1995,25,3,87,3,AGO,
1996,29,6,256,3,AGO,
1997,26,2,28,3,AGO,
1998,25,13,313,3,AGO,
2002,31,31,398,3,AGO,
2003,25,22,146,3,AGO,
2004,25,8,54,3,AGO,
2007,25,0,110,3,AGO,
2009,25,1,66,3,AGO,
1991,35,35,35,4,AZE,
1992,2167,2099,3635,4,ARM: AZE,
1993,1171,968,1801,4,ARM: AZE,
1994,1507,1257,3937,3,ARM: AZE,
1997,29,29,36,4,AZE,
1998,34,34,38,4,AZE,
2005,25,25,26,4,ARM: AZE,
2008,30,30,43,4,AZE,
2012,25,25,27,4,ARM: AZE,
2014,46,45,54,4,AZE,
2015,72,65,121,4,ARM: AZE,
2016,141,141,263,4,ARM: AZE,
2017,36,36,37,4,AZE,
2020,7646,7548,9077,4,ARM: AZE,
2021,40,40,43,4,ARM: AZE,
1992,25,25,25,4,BIH,
1993,25,25,25,4,BIH,
1994,25,25,25,3,BIH,
1995,25,25,25,3,BIH,
1992,16757,13749,18852,4,BIH," HRV"""
1993,4949,4451,6285,4,BIH,
1994,3506,3017,4237,3,BIH,
1995,1172,716,2884,3,BIH,
1992,25,25,25,4,HRV,
1992,4000,3966,4031,4,BIH," HRV"""
1993,410,410,478,4,BIH," HRV"""
1995,858,420,2549,3,BIH," HRV"""
1993,103,103,119,3,EGY,
1994,145,145,157,3,EGY,
1995,191,191,199,3,EGY: ETH,
1996,85,85,99,3,EGY,
1997,66,66,69,3,EGY,
1998,27,27,29,3,EGY,
1992,566,566,1195,3,GEO,
1993,1611,1611,2563,3,GEO,
1992,134,134,137,3,GEO,
2004,27,27,73,3,GEO,
2008,621,621,859,4,GEO,
1992,585,316,632,3,MDA,
1992,2936,2933,3588,4,TJK,
1993,1395,1395,1596,4,AFG: TJK,
1994,356,356,645,4,TJK,
1995,368,362,649,4,AFG: TJK,
1996,2790,2790,2869,4,TJK,
1998,83,83,100,3,TJK,
1997,87,87,87,3,TJK,
1998,517,517,517,3,TJK,
1993,60,60,88,3,AZE,
1995,44,44,72,3,AZE,
1993,231,202,317,3,BIH,
1994,697,684,1001,3,BIH,
1995,116,115,389,3,BIH," HRV"""
1993,25,25,25,4,BIH,
1994,25,25,25,3,BIH,
1992,88,88,88,3,BIH,
1993,7849,7450,8538,4,BIH,
1994,650,539,657,3,BIH,
1993,145,145,147,3,RUS ,
1994,145,145,445,3,Mexico,
1996,37,37,70,3,Mexico,
1994,229,229,338,3,RUS ,
1995,1754,1754,3896,3,RUS ,
1996,2721,2704,4027,3,RUS ,
1999,5769,5719,12068,3,RUS ,
2000,2907,2907,5329,3,RUS ,
2001,791,790,1032,3,RUS ,
2002,1289,1131,3196,3,GEO: RUS ,
2003,480,476,626,3,RUS ,
2004,1151,1134,1304,3,QAT: RUS ,
2005,682,650,735,3,RUS ,
2006,259,259,357,3,RUS ,
2007,146,146,217,3,RUS ,
1994,1489,1283,3253,3,YEM ,
1995,99,92,303,2,ECU: PER,
1990,70,70,70,3,PAK,
1994,38,38,38,3,PAK,
1995,52,52,55,3,PAK,
1996,42,42,42,3,PAK,
2007,585,585,727,3,PAK,
2008,2998,2980,3699,3,PAK,
2009,5968,4443,6317,3,PAK,
2010,5502,5250,6337,3,PAK,
2011,2598,2561,2909,3,AFG: PAK,
2012,2309,2309,2377,3,PAK,
2013,1630,1630,1659,3,PAK,
2014,2616,2616,2665,3,PAK,
2015,1954,1954,1989,4,AFG: PAK,
2016,526,526,534,4,AFG: PAK,
2017,506,506,507,4,AFG: PAK,
