Entity,2_1_GDP_2015_USD
Jordan,0.0004745842451511413
Kazakhstan,0.0022931515685983904
Kenya,0.000896309949443608
Kiribati,1.9087802129304594e-06
Kosovo,8.210349129279606e-05
Kuwait,0.001327662166178552
Kyrgyzstan,8.60110716948538e-05
Laos,0.00019480346818147038
Latvia,0.0003405129776458151
Lebanon,0.0006055011161275261
Lesotho,2.7744266386382758e-05
Liberia,3.822985753365957e-05
Libya,0.000404938180663966
Liechtenstein,0.006027038024556423
Lithuania,0.0005232801598810425
Luxembourg,0.0007548441839813333
Macao,0.0005813106486590984
Madagascar,0.00014439547103259998
Malawi,8.004050555551394e-05
Malaysia,0.003935857691389396
Maldives,5.5130272713220423e-05
Mali,0.00017239610727544906
Malta,0.0001472821081139876
MarshallIslands,2.0360781926262326e-06
Martinique,0.006027038024556423
Mauritania,7.818979959538378e-05
Mauritius,0.00014871833513175513
Mayotte,0.006027038024556423
Mexico,0.014513481122607948
Micronesia(country),3.6388563502546476e-06
Moldova,9.981490259444854e-05
Mongolia,0.0001469888264448443
Montenegro,5.139910302013469e-05
Montserrat,0.006027038024556423
Morocco,0.0012595872249652178
Mozambique,0.00020280269394071975
Myanmar,0.0008704630183947249
Namibia,0.0001323909386027075
Nauru,7.619586731205572e-07
Nepal,0.0003148621647207255
Netherlands,0.009514691105473089
NewCaledonia,0.006027038024556423
NewZealand,0.002261486297121583
Nicaragua,0.0001647033660036238
Niger,0.0001268295146111731
Nigeria,0.005705372442489538
Niue,0.006027038024556423
NorthKorea,0.006027038024556423
NorthMacedonia,0.00012341662844109698
Norway,0.0047150639683915755
Oman,0.000979876358794088
Pakistan,0.0035613025225063365
Palau,2.9666259628297895e-06
Palestine,0.00018207794811864124
Panama,0.0007081947423896819
PapuaNewGuinea,0.00028015688080149375
Paraguay,0.00046743545757217024
Peru,0.002390283262602864
Philippines,0.004149205166296863
Poland,0.006105268890213373
Portugal,0.002488072507784336
Qatar,0.0019402646085244014
Reunion,0.006027038024556423
Romania,0.002359906566827743
Russia,0.016439286649371342
Rwanda,0.00011095523735333373
SaintHelena,0.006027038024556423
SaintKittsandNevis,1.2246197596445045e-05
SaintLucia,2.268615899898865e-05
SaintPierreandMiquelon,0.006027038024556423
SaintVincentandtheGrenadines,8.951418259882962e-06
Samoa,9.937434922523116e-06
SaoTomeandPrincipe,3.8042761819439103e-06
SaudiArabia,0.007802771718921759
Senegal,0.00023972580929962781
Serbia,0.0004942378805735551
Seychelles,1.7592179518020868e-05
SierraLeone,5.4856274903775075e-05
Singapore,0.003930933802569878
SintMaarten(Dutchpart),1.3783288972454659e-05
Slovakia,0.0010993250996506599
Slovenia,0.0005507810373827894
SolomonIslands,1.699267959610256e-05
Somalia,6.98374256756665e-05
SouthAfrica,0.004172150914171257
SouthKorea,0.01839611558007569
SouthSudan,0.006027038024556423
Spain,0.01499050390873922
SriLanka,0.001030690775236398
Sudan,0.0006367515456147222
Suriname,5.8270607212058855e-05
Sweden,0.006249112663561488
Switzerland,0.008601634438911744
Syria,0.0001823541786686666
Taiwan,0.006027038024556423
Tajikistan,0.00011167939559890978
Tanzania,0.0006387348485316836
Thailand,0.005110107394118856
Timor,1.8645977102009138e-05
Togo,5.418725748450196e-05
Tonga,5.450441700282955e-06
TrinidadandTobago,0.00026989573756499067
Tunisia,0.0005591129717424002
Turkey,0.011345396453823608
Turkmenistan,0.0004782787591736747
TurksandCaicosIslands,1.1406984383290061e-05
Tuvalu,2.1356913851056414e-07
Uganda,0.0004133713810028378
Ukraine,0.0011278308919370431
UnitedArabEmirates,0.0044619451030364354
UnitedKingdom,0.03649392837915168
UnitedStates,0.22434166468069625
Uruguay,0.0006504166924652812
Uzbekistan,0.001126284020219421
Vanuatu,9.377150910609479e-06
Venezuela,0.006027038024556423
Vietnam,0.002590547870040522
WallisandFutuna,0.006027038024556423
World,0.9437930024826172
Yemen,0.0004312949268627427
Zambia,0.0002695277528736224
Zimbabwe,0.0002486647828623566
