Entity,Code,Year,Refugee population by country or territory of origin
Cambodia,KHM,1978,165120
Cambodia,KHM,1979,51100
Cambodia,KHM,1980,192843
Cambodia,KHM,1981,135077
Cambodia,KHM,1982,123398
Cambodia,KHM,1983,91115
Cambodia,KHM,1984,72468
Cambodia,KHM,1985,67518
Cambodia,KHM,1986,54848
Cambodia,KHM,1987,48589
Cambodia,KHM,1988,97758
Cambodia,KHM,1989,75725
Cambodia,KHM,1990,54364
Cambodia,KHM,1991,43166
Cambodia,KHM,1992,28849
Cambodia,KHM,1993,9751
Cambodia,KHM,1994,8536
Cambodia,KHM,1995,61224
Cambodia,KHM,1996,62240
Cambodia,KHM,1997,103239
Cambodia,KHM,1998,76575
Cambodia,KHM,1999,38318
Cambodia,KHM,2000,36851
Cambodia,KHM,2001,34756
Cambodia,KHM,2002,33451
Cambodia,KHM,2003,31404
Cambodia,KHM,2004,18109
Cambodia,KHM,2005,17804
Cambodia,KHM,2006,17963
Cambodia,KHM,2007,17700
Cambodia,KHM,2008,17250
Cambodia,KHM,2009,17022
Cambodia,KHM,2010,16308
Cambodia,KHM,2011,15201
Cambodia,KHM,2012,14016
Cambodia,KHM,2013,13738
Cambodia,KHM,2014,13066
Cambodia,KHM,2015,12801
Cambodia,KHM,2016,12428
Cambodia,KHM,2017,12238
Cambodia,KHM,2018,12139
Cambodia,KHM,2019,11986
Cambodia,KHM,2020,11901
China,CHN,1964,1200000
China,CHN,1965,1330000
China,CHN,1966,1326810
China,CHN,1967,74000
China,CHN,1968,70000
China,CHN,1969,65000
China,CHN,1970,66000
China,CHN,1971,70000
China,CHN,1972,75000
China,CHN,1980,24
China,CHN,1981,24
China,CHN,1982,104
China,CHN,1983,24
China,CHN,1984,24
China,CHN,1985,124
China,CHN,1986,154
China,CHN,1987,24
China,CHN,1988,265
China,CHN,1989,413
China,CHN,1990,1426
China,CHN,1991,2011
China,CHN,1992,82576
China,CHN,1993,111507
China,CHN,1994,113908
China,CHN,1995,104691
China,CHN,1996,105806
China,CHN,1997,106731
China,CHN,1998,109396
China,CHN,1999,111950
China,CHN,2000,110967
China,CHN,2001,117403
China,CHN,2002,132099
China,CHN,2003,132390
China,CHN,2004,134708
China,CHN,2005,124086
China,CHN,2006,140584
China,CHN,2007,149087
China,CHN,2008,175169
China,CHN,2009,180546
China,CHN,2010,184601
China,CHN,2011,190369
China,CHN,2012,193449
China,CHN,2013,195121
China,CHN,2014,210793
China,CHN,2015,212911
China,CHN,2016,207768
China,CHN,2017,207716
China,CHN,2018,212039
China,CHN,2019,212863
China,CHN,2020,175585
Hong Kong,HKG,1994,257
Hong Kong,HKG,1995,202
Hong Kong,HKG,1996,102
Hong Kong,HKG,1997,47
Hong Kong,HKG,1998,39
Hong Kong,HKG,1999,17
Hong Kong,HKG,2000,10
Hong Kong,HKG,2001,5
Hong Kong,HKG,2003,6
Hong Kong,HKG,2004,7
Hong Kong,HKG,2006,8
Hong Kong,HKG,2007,9
Hong Kong,HKG,2008,9
Hong Kong,HKG,2009,10
Hong Kong,HKG,2010,16
Hong Kong,HKG,2011,14
Hong Kong,HKG,2012,18
Hong Kong,HKG,2013,24
Hong Kong,HKG,2014,25
Hong Kong,HKG,2015,33
Hong Kong,HKG,2016,15
Hong Kong,HKG,2017,11
Hong Kong,HKG,2018,11
Hong Kong,HKG,2019,5
Hong Kong,HKG,2020,20
India,IND,1988,10
India,IND,1989,13
India,IND,1990,197
India,IND,1991,406
India,IND,1992,1021
India,IND,1993,1491
India,IND,1994,3266
India,IND,1995,5011
India,IND,1996,7546
India,IND,1997,8918
India,IND,1998,9663
India,IND,1999,9846
India,IND,2000,11397
India,IND,2001,11560
India,IND,2002,14349
India,IND,2003,13703
India,IND,2004,13335
India,IND,2005,16275
India,IND,2006,17797
India,IND,2007,20455
India,IND,2008,19551
India,IND,2009,19496
India,IND,2010,17766
India,IND,2011,16226
India,IND,2012,14245
India,IND,2013,11032
India,IND,2014,10431
India,IND,2015,9882
India,IND,2016,7288
India,IND,2017,7926
India,IND,2018,9586
India,IND,2019,11787
India,IND,2020,12428
Indonesia,IDN,1978,1000
Indonesia,IDN,1979,1000
Indonesia,IDN,1980,1000
Indonesia,IDN,1981,150
Indonesia,IDN,1982,2200
Indonesia,IDN,1983,1230
Indonesia,IDN,1984,11020
Indonesia,IDN,1985,11800
Indonesia,IDN,1986,11340
Indonesia,IDN,1987,9680
Indonesia,IDN,1988,9301
Indonesia,IDN,1989,7775
Indonesia,IDN,1990,7168
Indonesia,IDN,1991,6164
Indonesia,IDN,1992,6829
Indonesia,IDN,1993,7925
Indonesia,IDN,1994,8727
Indonesia,IDN,1995,9836
Indonesia,IDN,1996,11365
Indonesia,IDN,1997,8800
Indonesia,IDN,1998,9054
Indonesia,IDN,1999,9023
Indonesia,IDN,2000,9152
Indonesia,IDN,2001,8972
Indonesia,IDN,2002,9907
Indonesia,IDN,2003,16240
Indonesia,IDN,2004,27919
Indonesia,IDN,2005,34383
Indonesia,IDN,2006,34722
Indonesia,IDN,2007,20549
Indonesia,IDN,2008,19338
Indonesia,IDN,2009,18207
Indonesia,IDN,2010,16882
Indonesia,IDN,2011,16069
Indonesia,IDN,2012,15514
Indonesia,IDN,2013,14775
Indonesia,IDN,2014,14393
Indonesia,IDN,2015,13947
Indonesia,IDN,2016,13056
Indonesia,IDN,2017,12485
Indonesia,IDN,2018,12148
Indonesia,IDN,2019,12039
Indonesia,IDN,2020,13037
Japan,JPN,1994,7
Japan,JPN,1995,5
Japan,JPN,2000,5
Japan,JPN,2001,5
Japan,JPN,2002,14
Japan,JPN,2003,17
Japan,JPN,2004,19
Japan,JPN,2005,10
Japan,JPN,2006,166
Japan,JPN,2007,519
Japan,JPN,2008,183
Japan,JPN,2009,148
Japan,JPN,2010,149
Japan,JPN,2011,176
Japan,JPN,2012,173
Japan,JPN,2013,154
Japan,JPN,2014,257
Japan,JPN,2015,140
Japan,JPN,2016,53
Japan,JPN,2017,44
Japan,JPN,2018,42
Japan,JPN,2019,39
Japan,JPN,2020,40
Laos,LAO,1975,55510
Laos,LAO,1976,62720
Laos,LAO,1977,78970
Laos,LAO,1978,119180
Laos,LAO,1979,128770
Laos,LAO,1980,105256
Laos,LAO,1981,89990
Laos,LAO,1982,80588
Laos,LAO,1983,85043
Laos,LAO,1984,86673
Laos,LAO,1985,99303
Laos,LAO,1986,91214
Laos,LAO,1987,78894
Laos,LAO,1988,135866
Laos,LAO,1989,133496
Laos,LAO,1990,135634
Laos,LAO,1991,122328
Laos,LAO,1992,96158
Laos,LAO,1993,74500
Laos,LAO,1994,54895
Laos,LAO,1995,58197
Laos,LAO,1996,46908
Laos,LAO,1997,37369
Laos,LAO,1998,29018
Laos,LAO,1999,21393
Laos,LAO,2000,16090
Laos,LAO,2001,12625
Laos,LAO,2002,11233
Laos,LAO,2003,10360
Laos,LAO,2004,16114
Laos,LAO,2005,24441
Laos,LAO,2006,26445
Laos,LAO,2007,10012
Laos,LAO,2008,8596
Laos,LAO,2009,8397
Laos,LAO,2010,8412
Laos,LAO,2011,8086
Laos,LAO,2012,7981
Laos,LAO,2013,7736
Laos,LAO,2014,7476
Laos,LAO,2015,7359
Laos,LAO,2016,7229
Laos,LAO,2017,7056
Laos,LAO,2018,6943
Laos,LAO,2019,6757
Laos,LAO,2020,6681
Macao,MAC,2000,5
Macao,MAC,2001,5
Macao,MAC,2002,13
Macao,MAC,2003,13
Macao,MAC,2004,18
Macao,MAC,2005,8
Macao,MAC,2006,8
Macao,MAC,2007,8
Macao,MAC,2008,8
Macao,MAC,2009,8
Macao,MAC,2010,8
Macao,MAC,2011,8
Macao,MAC,2014,5
Macao,MAC,2015,5
Macao,MAC,2016,5
Malaysia,MYS,1991,5
Malaysia,MYS,1992,5
Malaysia,MYS,1993,5
Malaysia,MYS,1994,83
Malaysia,MYS,1995,82
Malaysia,MYS,1996,105
Malaysia,MYS,1997,88
Malaysia,MYS,1998,87
Malaysia,MYS,1999,83
Malaysia,MYS,2000,79
Malaysia,MYS,2001,77
Malaysia,MYS,2002,117
Malaysia,MYS,2003,235
Malaysia,MYS,2004,287
Malaysia,MYS,2005,388
Malaysia,MYS,2006,575
Malaysia,MYS,2007,611
Malaysia,MYS,2008,607
Malaysia,MYS,2009,530
Malaysia,MYS,2010,550
Malaysia,MYS,2011,531
Malaysia,MYS,2012,523
Malaysia,MYS,2013,478
Malaysia,MYS,2014,458
Malaysia,MYS,2015,435
Malaysia,MYS,2016,453
Malaysia,MYS,2017,540
Malaysia,MYS,2018,817
Malaysia,MYS,2019,906
Malaysia,MYS,2020,1078
Maldives,MDV,2005,10
Maldives,MDV,2006,20
Maldives,MDV,2007,15
Maldives,MDV,2008,15
Maldives,MDV,2009,15
Maldives,MDV,2010,16
Maldives,MDV,2011,21
Maldives,MDV,2012,22
Maldives,MDV,2013,30
Maldives,MDV,2014,32
Maldives,MDV,2015,39
Maldives,MDV,2016,58
Maldives,MDV,2017,64
Maldives,MDV,2018,74
Maldives,MDV,2019,75
Maldives,MDV,2020,83
Mongolia,MNG,1996,5
Mongolia,MNG,1997,10
Mongolia,MNG,1998,17
Mongolia,MNG,1999,25
Mongolia,MNG,2000,25
Mongolia,MNG,2001,57
Mongolia,MNG,2002,277
Mongolia,MNG,2003,324
Mongolia,MNG,2004,443
Mongolia,MNG,2005,655
Mongolia,MNG,2006,866
Mongolia,MNG,2007,1103
Mongolia,MNG,2008,1329
Mongolia,MNG,2009,1490
Mongolia,MNG,2010,1720
Mongolia,MNG,2011,1982
Mongolia,MNG,2012,2111
Mongolia,MNG,2013,2054
Mongolia,MNG,2014,2162
Mongolia,MNG,2015,2198
Mongolia,MNG,2016,2282
Mongolia,MNG,2017,2227
Mongolia,MNG,2018,2249
Mongolia,MNG,2019,2364
Mongolia,MNG,2020,2290
Myanmar,MMR,1972,5700
Myanmar,MMR,1978,160000
Myanmar,MMR,1988,7
Myanmar,MMR,1990,24
Myanmar,MMR,1991,40052
Myanmar,MMR,1992,245127
Myanmar,MMR,1993,281571
Myanmar,MMR,1994,204512
Myanmar,MMR,1995,152301
Myanmar,MMR,1996,143019
Myanmar,MMR,1997,135771
Myanmar,MMR,1998,133408
Myanmar,MMR,1999,131661
Myanmar,MMR,2000,137121
Myanmar,MMR,2001,145849
Myanmar,MMR,2002,148493
Myanmar,MMR,2003,151370
Myanmar,MMR,2004,160997
Myanmar,MMR,2005,164851
Myanmar,MMR,2006,202817
Myanmar,MMR,2007,191308
Myanmar,MMR,2008,184410
Myanmar,MMR,2009,406667
Myanmar,MMR,2010,415662
Myanmar,MMR,2011,414615
Myanmar,MMR,2012,415363
Myanmar,MMR,2013,479594
Myanmar,MMR,2014,479006
Myanmar,MMR,2015,451804
Myanmar,MMR,2016,490285
Myanmar,MMR,2017,1156742
Myanmar,MMR,2018,1145149
Myanmar,MMR,2019,1076825
Myanmar,MMR,2020,1103299
Nepal,NPL,1994,5
Nepal,NPL,1995,27
Nepal,NPL,1996,44
Nepal,NPL,1997,49
Nepal,NPL,1998,95
Nepal,NPL,1999,178
Nepal,NPL,2000,227
Nepal,NPL,2001,300
Nepal,NPL,2002,899
Nepal,NPL,2003,1232
Nepal,NPL,2004,1414
Nepal,NPL,2005,2061
Nepal,NPL,2006,2651
Nepal,NPL,2007,3365
Nepal,NPL,2008,4190
Nepal,NPL,2009,5101
Nepal,NPL,2010,5883
Nepal,NPL,2011,6847
Nepal,NPL,2012,7603
Nepal,NPL,2013,8100
Nepal,NPL,2014,8547
Nepal,NPL,2015,9052
Nepal,NPL,2016,8365
Nepal,NPL,2017,8414
Nepal,NPL,2018,8589
Nepal,NPL,2019,8033
Nepal,NPL,2020,7492
North Korea,PRK,1996,10
North Korea,PRK,1998,5
North Korea,PRK,1999,10
North Korea,PRK,2000,15
North Korea,PRK,2001,17
North Korea,PRK,2002,256
North Korea,PRK,2003,306
North Korea,PRK,2004,344
North Korea,PRK,2005,287
North Korea,PRK,2006,394
North Korea,PRK,2007,602
North Korea,PRK,2008,881
North Korea,PRK,2009,878
North Korea,PRK,2010,915
North Korea,PRK,2011,1046
North Korea,PRK,2012,1126
North Korea,PRK,2013,1163
North Korea,PRK,2014,1275
North Korea,PRK,2015,1094
North Korea,PRK,2016,1419
North Korea,PRK,2017,1176
North Korea,PRK,2018,797
North Korea,PRK,2019,758
North Korea,PRK,2020,694
Oman,OMN,1994,5
Oman,OMN,1995,9
Oman,OMN,1996,8
Oman,OMN,1997,8
Oman,OMN,1998,8
Oman,OMN,1999,8
Oman,OMN,2000,5
Oman,OMN,2001,5
Oman,OMN,2002,19
Oman,OMN,2003,5
Oman,OMN,2004,16
Oman,OMN,2005,10
Oman,OMN,2006,37
Oman,OMN,2007,44
Oman,OMN,2008,55
Oman,OMN,2009,63
Oman,OMN,2010,62
Oman,OMN,2011,58
Oman,OMN,2012,62
Oman,OMN,2013,20
Oman,OMN,2014,25
Oman,OMN,2015,36
Oman,OMN,2016,35
Oman,OMN,2017,39
Oman,OMN,2018,42
Oman,OMN,2019,42
Oman,OMN,2020,52
Philippines,PHL,1977,90000
Philippines,PHL,1978,92000
Philippines,PHL,1979,90000
Philippines,PHL,1980,90000
Philippines,PHL,1981,90000
Philippines,PHL,1982,90000
Philippines,PHL,1983,100000
Philippines,PHL,1984,100000
Philippines,PHL,1985,90000
Philippines,PHL,1986,90000
Philippines,PHL,1987,90000
Philippines,PHL,1988,90000
Philippines,PHL,1989,90000
Philippines,PHL,1990,11
Philippines,PHL,1991,15
Philippines,PHL,1992,45
Philippines,PHL,1993,111
Philippines,PHL,1994,435
Philippines,PHL,1995,515
Philippines,PHL,1996,599
Philippines,PHL,1997,526
Philippines,PHL,1998,45601
Philippines,PHL,1999,45516
Philippines,PHL,2000,45481
Philippines,PHL,2001,45469
Philippines,PHL,2002,45606
Philippines,PHL,2003,409
Philippines,PHL,2004,428
Philippines,PHL,2005,464
Philippines,PHL,2006,888
Philippines,PHL,2007,1550
Philippines,PHL,2008,1348
Philippines,PHL,2009,987
Philippines,PHL,2010,964
Philippines,PHL,2011,945
Philippines,PHL,2012,979
Philippines,PHL,2013,718
Philippines,PHL,2014,661
Philippines,PHL,2015,583
Philippines,PHL,2016,426
Philippines,PHL,2017,443
Philippines,PHL,2018,520
Philippines,PHL,2019,552
Philippines,PHL,2020,490
Singapore,SGP,1988,8
Singapore,SGP,1989,5
Singapore,SGP,1994,8
Singapore,SGP,1995,8
Singapore,SGP,1996,18
Singapore,SGP,1997,20
Singapore,SGP,1998,21
Singapore,SGP,1999,24
Singapore,SGP,2000,21
Singapore,SGP,2001,15
Singapore,SGP,2002,40
Singapore,SGP,2003,35
Singapore,SGP,2004,36
Singapore,SGP,2005,35
Singapore,SGP,2006,108
Singapore,SGP,2007,117
Singapore,SGP,2008,106
Singapore,SGP,2009,77
Singapore,SGP,2010,74
Singapore,SGP,2011,65
Singapore,SGP,2012,64
Singapore,SGP,2013,61
Singapore,SGP,2014,55
Singapore,SGP,2015,50
Singapore,SGP,2016,38
Singapore,SGP,2017,48
Singapore,SGP,2018,46
Singapore,SGP,2019,39
Singapore,SGP,2020,42
South Korea,KOR,1991,5
South Korea,KOR,1992,5
South Korea,KOR,1993,5
South Korea,KOR,1994,17
South Korea,KOR,1995,29
South Korea,KOR,1996,40
South Korea,KOR,1997,50
South Korea,KOR,1998,63
South Korea,KOR,1999,72
South Korea,KOR,2000,69
South Korea,KOR,2001,83
South Korea,KOR,2002,244
South Korea,KOR,2003,236
South Korea,KOR,2004,269
South Korea,KOR,2005,266
South Korea,KOR,2006,1333
South Korea,KOR,2007,1183
South Korea,KOR,2008,1099
South Korea,KOR,2009,567
South Korea,KOR,2010,578
South Korea,KOR,2011,508
South Korea,KOR,2012,555
South Korea,KOR,2013,495
South Korea,KOR,2014,478
South Korea,KOR,2015,346
South Korea,KOR,2016,243
South Korea,KOR,2017,239
South Korea,KOR,2018,274
South Korea,KOR,2019,180
South Korea,KOR,2020,156
Sri Lanka,LKA,1985,160
Sri Lanka,LKA,1986,315
Sri Lanka,LKA,1987,219
Sri Lanka,LKA,1988,3388
Sri Lanka,LKA,1989,7692
Sri Lanka,LKA,1990,208271
Sri Lanka,LKA,1991,209349
Sri Lanka,LKA,1992,128115
Sri Lanka,LKA,1993,91837
Sri Lanka,LKA,1994,114454
Sri Lanka,LKA,1995,107587
Sri Lanka,LKA,1996,109576
Sri Lanka,LKA,1997,122277
Sri Lanka,LKA,1998,114971
Sri Lanka,LKA,1999,116698
Sri Lanka,LKA,2000,124156
Sri Lanka,LKA,2001,122414
Sri Lanka,LKA,2002,133240
Sri Lanka,LKA,2003,122005
Sri Lanka,LKA,2004,114050
Sri Lanka,LKA,2005,108132
Sri Lanka,LKA,2006,116948
Sri Lanka,LKA,2007,134945
Sri Lanka,LKA,2008,137742
Sri Lanka,LKA,2009,145712
Sri Lanka,LKA,2010,141065
Sri Lanka,LKA,2011,136600
Sri Lanka,LKA,2012,132718
Sri Lanka,LKA,2013,123075
Sri Lanka,LKA,2014,121991
Sri Lanka,LKA,2015,121427
Sri Lanka,LKA,2016,117472
Sri Lanka,LKA,2017,115632
Sri Lanka,LKA,2018,113955
Sri Lanka,LKA,2019,110341
Sri Lanka,LKA,2020,142716
Thailand,THA,1990,18
Thailand,THA,1991,29
Thailand,THA,1992,33
Thailand,THA,1993,33
Thailand,THA,1994,135
Thailand,THA,1995,209
Thailand,THA,1996,282
Thailand,THA,1997,268
Thailand,THA,1998,290
Thailand,THA,1999,315
Thailand,THA,2000,213
Thailand,THA,2001,90
Thailand,THA,2002,342
Thailand,THA,2003,295
Thailand,THA,2004,320
Thailand,THA,2005,424
Thailand,THA,2006,3323
Thailand,THA,2007,2322
Thailand,THA,2008,1811
Thailand,THA,2009,498
Thailand,THA,2010,351
Thailand,THA,2011,365
Thailand,THA,2012,380
Thailand,THA,2013,218
Thailand,THA,2014,225
Thailand,THA,2015,210
Thailand,THA,2016,148
Thailand,THA,2017,164
Thailand,THA,2018,183
Thailand,THA,2019,171
Thailand,THA,2020,182
Vietnam,VNM,1964,10000
Vietnam,VNM,1965,15000
Vietnam,VNM,1966,17000
Vietnam,VNM,1967,20000
Vietnam,VNM,1968,22000
Vietnam,VNM,1969,22000
Vietnam,VNM,1970,20000
Vietnam,VNM,1975,2110
Vietnam,VNM,1976,4000
Vietnam,VNM,1977,14380
Vietnam,VNM,1978,124210
Vietnam,VNM,1979,397290
Vietnam,VNM,1980,346928
Vietnam,VNM,1981,312548
Vietnam,VNM,1982,325343
Vietnam,VNM,1983,328399
Vietnam,VNM,1984,328095
Vietnam,VNM,1985,326617
Vietnam,VNM,1986,326668
Vietnam,VNM,1987,325717
Vietnam,VNM,1988,440379
Vietnam,VNM,1989,456936
Vietnam,VNM,1990,496029
Vietnam,VNM,1991,498323
Vietnam,VNM,1992,517111
Vietnam,VNM,1993,527625
Vietnam,VNM,1994,539095
Vietnam,VNM,1995,543536
Vietnam,VNM,1996,518335
Vietnam,VNM,1997,476795
Vietnam,VNM,1998,435437
Vietnam,VNM,1999,405378
Vietnam,VNM,2000,370753
Vietnam,VNM,2001,353211
Vietnam,VNM,2002,373732
Vietnam,VNM,2003,363170
Vietnam,VNM,2004,349793
Vietnam,VNM,2005,358268
Vietnam,VNM,2006,374278
Vietnam,VNM,2007,327770
Vietnam,VNM,2008,328175
Vietnam,VNM,2009,339299
Vietnam,VNM,2010,338707
Vietnam,VNM,2011,337828
Vietnam,VNM,2012,336936
Vietnam,VNM,2013,314110
Vietnam,VNM,2014,313421
Vietnam,VNM,2015,313152
Vietnam,VNM,2016,329341
Vietnam,VNM,2017,334064
Vietnam,VNM,2018,334464
Vietnam,VNM,2019,316441
Vietnam,VNM,2020,316727
