Entity,Code,Year,5_0_BattleDeath
1182,NPL,1997,48
1183,NPL,1998,357
1184,NPL,1999,295
1185,NPL,2000,365
1186,NPL,2001,569
1187,NPL,2002,4432
1188,NPL,2003,1732
1189,NPL,2004,2456
1190,NPL,2005,1399
1191,NPL,2006,566
1192,NPL,2007,31
1193,NPL,2008,0
1194,NPL,2009,9
1260,PHL,1989,984
1261,PHL,1990,1352
1262,PHL,1991,1549
1263,PHL,1992,445
1264,PHL,1993,318
1265,PHL,1994,308
1266,PHL,1995,188
1267,PHL,1996,199
1268,PHL,1997,322
1269,PHL,1998,138
1270,PHL,1999,219
1271,PHL,2000,1761
1272,PHL,2001,792
1273,PHL,2002,763
1274,PHL,2003,1132
1275,PHL,2004,470
1276,PHL,2005,487
1277,PHL,2006,434
1278,PHL,2007,483
1279,PHL,2008,566
1280,PHL,2009,1047
1281,PHL,2010,372
1282,PHL,2011,414
1283,PHL,2012,311
1284,PHL,2013,537
1285,PHL,2014,484
1286,PHL,2015,628
1287,PHL,2016,616
1288,PHL,2017,1708
1289,PHL,2018,436
1290,PHL,2019,364
1291,PHL,2020,375
1292,PHL,2021,309
1560,THA,1989,203
1561,THA,1990,20
1562,THA,1991,2
1563,THA,1992,0
1564,THA,1993,1
1565,THA,1994,1
1566,THA,1995,12
1567,THA,1996,1
1568,THA,1997,7
1569,THA,1998,12
1570,THA,1999,1
1571,THA,2000,8
1572,THA,2001,25
1573,THA,2002,23
1574,THA,2003,26
1575,THA,2004,310
1576,THA,2005,494
1577,THA,2006,541
1578,THA,2007,518
1579,THA,2008,328
1580,THA,2009,258
1581,THA,2010,218
1582,THA,2011,277
1583,THA,2012,244
1584,THA,2013,249
1585,THA,2014,100
1586,THA,2015,84
1587,THA,2016,69
1588,THA,2017,50
1589,THA,2018,61
1590,THA,2019,60
1591,THA,2020,47
1592,THA,2021,41
