Entity,Code,Year,2_1_Trade_share_GDP
Bangladesh,BGD,2017,35.30400085449219
Bangladesh,BGD,2018,38.24489212036133
Bangladesh,BGD,2019,36.759300231933594
Bangladesh,BGD,2020,30.51946449279785
Bhutan,BTN,1980,54.114837646484375
Bhutan,BTN,1981,66.7818603515625
Bhutan,BTN,1982,64.68049621582031
Bhutan,BTN,1983,61.11565017700195
Bhutan,BTN,1984,61.247230529785156
Bhutan,BTN,1985,69.75367736816406
Bhutan,BTN,1986,73.7685775756836
Bhutan,BTN,1987,64.2819595336914
Bhutan,BTN,1988,80.48221588134766
Bhutan,BTN,1989,68.81454467773438
Bhutan,BTN,1990,61.216285705566406
Bhutan,BTN,1991,75.97298431396484
Bhutan,BTN,1992,91.7608413696289
Bhutan,BTN,1993,78.75599670410156
Bhutan,BTN,1994,72.10077667236328
Bhutan,BTN,1995,83.8829116821289
Bhutan,BTN,1996,84.6294937133789
Bhutan,BTN,1997,85.21144104003906
Bhutan,BTN,1998,85.58313751220703
Bhutan,BTN,1999,85.86620330810547
Bhutan,BTN,2000,80.35345458984375
Bhutan,BTN,2001,76.42748260498047
Bhutan,BTN,2002,75.47709655761719
Bhutan,BTN,2003,78.63080596923828
Bhutan,BTN,2004,95.9443130493164
Bhutan,BTN,2005,105.52423095703125
Bhutan,BTN,2006,116.5497817993164
Bhutan,BTN,2007,114.93379974365234
