Entity,Code,Year,GDP per capita growth (annual %)
Japan,JPN,2013,2.1523711681365967
Japan,JPN,2014,0.4293811321258545
Japan,JPN,2015,1.6684651374816895
Japan,JPN,2016,0.8700469732284546
Japan,JPN,2017,1.8427090644836426
Japan,JPN,2018,0.762860894203186
Japan,JPN,2019,0.4800882041454315
Japan,JPN,2020,-4.260289669036865
Laos,LAO,1985,2.176065444946289
Laos,LAO,1986,1.9462130069732666
Laos,LAO,1987,-4.235621452331543
Laos,LAO,1988,-4.819816589355469
Laos,LAO,1989,10.934247016906738
Laos,LAO,1990,3.7071080207824707
Laos,LAO,1991,1.4204519987106323
Laos,LAO,1992,2.7190616130828857
Laos,LAO,1993,3.1707189083099365
Laos,LAO,1994,5.512251377105713
Laos,LAO,1995,4.58784294128418
Laos,LAO,1996,4.666911602020264
Laos,LAO,1997,4.774584770202637
Laos,LAO,1998,2.0620341300964355
Laos,LAO,1999,5.446560382843018
Laos,LAO,2000,4.042749881744385
Laos,LAO,2001,4.072494983673096
Laos,LAO,2002,4.305584907531738
Laos,LAO,2003,4.480877876281738
Laos,LAO,2004,4.750571250915527
Laos,LAO,2005,5.441348075866699
Laos,LAO,2006,6.86532735824585
Laos,LAO,2007,5.8073039054870605
Laos,LAO,2008,6.011721611022949
Laos,LAO,2009,5.718575954437256
Laos,LAO,2010,6.7807440757751465
Laos,LAO,2011,6.3639044761657715
Laos,LAO,2012,6.400760650634766
Laos,LAO,2013,6.428110122680664
Laos,LAO,2014,6.016186237335205
Laos,LAO,2015,5.6565656661987305
Laos,LAO,2016,5.386222839355469
Laos,LAO,2017,5.244751453399658
Laos,LAO,2018,4.615955352783203
Laos,LAO,2019,3.8697476387023926
Laos,LAO,2020,-0.962611734867096
Macao,MAC,1983,5.904414176940918
Macao,MAC,1984,4.074545383453369
Macao,MAC,1985,-3.380858898162842
Macao,MAC,1986,2.3237321376800537
Macao,MAC,1987,9.627634048461914
Macao,MAC,1988,3.5789573192596436
Macao,MAC,1989,1.234582781791687
Macao,MAC,1990,4.514091968536377
Macao,MAC,1991,0.7845195531845093
Macao,MAC,1992,10.583574295043945
Macao,MAC,1993,2.945401430130005
Macao,MAC,1994,2.1524851322174072
Macao,MAC,1995,1.2298318147659302
Macao,MAC,1996,-2.408534049987793
Macao,MAC,1997,-2.2611629962921143
Macao,MAC,1998,-6.4970879554748535
Macao,MAC,1999,-4.404507160186768
Macao,MAC,2000,3.427140951156616
Macao,MAC,2001,0.5021895170211792
Macao,MAC,2002,6.268970966339111
Macao,MAC,2003,8.888543128967285
Macao,MAC,2004,23.557987213134766
Macao,MAC,2005,5.554538726806641
Macao,MAC,2006,10.877913475036621
Macao,MAC,2007,12.048797607421875
Macao,MAC,2008,1.2384942770004272
Macao,MAC,2009,-0.8746485114097595
Macao,MAC,2010,22.37633514404297
Macao,MAC,2011,18.83070182800293
Macao,MAC,2012,6.685009956359863
Macao,MAC,2013,8.195606231689453
Macao,MAC,2014,-4.1795783042907715
Macao,MAC,2015,-23.06341552734375
Macao,MAC,2016,-2.4181275367736816
Macao,MAC,2017,8.260072708129883
Macao,MAC,2018,4.938352108001709
Macao,MAC,2019,-3.853485584259033
Macao,MAC,2020,-54.64144515991211
Malaysia,MYS,1961,4.255725860595703
Malaysia,MYS,1962,3.0601065158843994
Malaysia,MYS,1963,3.97222900390625
Malaysia,MYS,1964,2.1706275939941406
Malaysia,MYS,1965,4.602007865905762
Malaysia,MYS,1966,4.914549827575684
Malaysia,MYS,1967,1.2082018852233887
Malaysia,MYS,1968,5.339229583740234
Malaysia,MYS,1969,2.3888418674468994
Malaysia,MYS,1970,3.4876253604888916
Malaysia,MYS,1971,7.465399265289307
Malaysia,MYS,1972,6.859135627746582
Malaysia,MYS,1973,9.115283966064453
Malaysia,MYS,1974,5.777798652648926
Malaysia,MYS,1975,-1.6114811897277832
Malaysia,MYS,1976,8.82109260559082
Malaysia,MYS,1977,5.043501853942871
Malaysia,MYS,1978,3.9513847827911377
Malaysia,MYS,1979,6.609676361083984
Malaysia,MYS,1980,4.809457778930664
Malaysia,MYS,1981,4.400094985961914
Malaysia,MYS,1982,3.4748549461364746
Malaysia,MYS,1983,3.755601644515991
Malaysia,MYS,1984,5.116954326629639
Malaysia,MYS,1985,-3.6052684783935547
Malaysia,MYS,1986,-1.566296935081482
Malaysia,MYS,1987,2.1469058990478516
Malaysia,MYS,1988,6.7055158615112305
Malaysia,MYS,1989,5.9083757400512695
Malaysia,MYS,1990,5.980303764343262
Malaysia,MYS,1991,6.646424770355225
Malaysia,MYS,1992,6.119141101837158
Malaysia,MYS,1993,7.1751017570495605
Malaysia,MYS,1994,6.519082546234131
Malaysia,MYS,1995,7.094583988189697
Malaysia,MYS,1996,7.228691101074219
Malaysia,MYS,1997,4.6093058586120605
Malaysia,MYS,1998,-9.671202659606934
Malaysia,MYS,1999,3.5773122310638428
Malaysia,MYS,2000,6.357501983642578
Malaysia,MYS,2001,-1.6651489734649658
Malaysia,MYS,2002,3.217395305633545
Malaysia,MYS,2003,3.6879191398620605
Malaysia,MYS,2004,4.698581695556641
Malaysia,MYS,2005,3.2822582721710205
Malaysia,MYS,2006,3.524327039718628
Malaysia,MYS,2007,4.236438751220703
Malaysia,MYS,2008,2.8470795154571533
Malaysia,MYS,2009,-3.285590410232544
Malaysia,MYS,2010,5.623556137084961
Malaysia,MYS,2011,3.666105270385742
Malaysia,MYS,2012,3.959552764892578
Malaysia,MYS,2013,3.2700419425964355
Malaysia,MYS,2014,4.595210075378418
Malaysia,MYS,2015,3.6877217292785645
Malaysia,MYS,2016,3.0416011810302734
Malaysia,MYS,2017,4.383944034576416
Malaysia,MYS,2018,3.4351589679718018
Malaysia,MYS,2019,3.0608088970184326
Malaysia,MYS,2020,-6.860273361206055
Maldives,MDV,1996,5.76371431350708
Maldives,MDV,1997,6.484185218811035
Maldives,MDV,1998,5.6490797996521
Maldives,MDV,1999,4.204868316650391
