Entity,Code,Year,4_0_RichestShare
Nepal,NPL,1995,28.99663391273821
Nepal,NPL,2003,36.88536625346262
Nepal,NPL,2010,26.410475395406518
Philippines,PHL,1985,32.73485267807705
Philippines,PHL,1988,31.96900016935702
Philippines,PHL,1991,34.69503942814596
Philippines,PHL,1994,33.591640702717115
Philippines,PHL,1997,36.27033928164274
Philippines,PHL,2000,34.0620784885876
Philippines,PHL,2003,32.49649286875617
Philippines,PHL,2006,33.15647546461774
Philippines,PHL,2009,32.69212161197179
Philippines,PHL,2012,32.93891579924373
Philippines,PHL,2015,31.452443114255868
Philippines,PHL,2018,29.81129283033707
South Korea,KOR,2006,24.003274535229092
South Korea,KOR,2008,24.45065814540568
South Korea,KOR,2010,24.178353369521112
South Korea,KOR,2012,23.7560300772621
South Korea,KOR,2014,23.63703418753268
South Korea,KOR,2016,24.02583374086462
Sri Lanka,LKA,1985,26.41642231340193
Sri Lanka,LKA,1990,27.48982475867293
Sri Lanka,LKA,1995,28.97121183188302
Sri Lanka,LKA,2002,32.69037525897257
Sri Lanka,LKA,2006,32.32776007704577
Sri Lanka,LKA,2009,29.61858000702136
Sri Lanka,LKA,2012,31.92858978473261
Sri Lanka,LKA,2016,32.56268442465794
