Entity,Code,Year,3_0_Energy_intensity
Hong Kong,HKG,2003,0.6222227226490975
Hong Kong,HKG,2004,0.5194448613245488
Hong Kong,HKG,2005,0.4972226094036103
Hong Kong,HKG,2006,0.4750003905963898
Hong Kong,HKG,2007,0.48611150000000003
Hong Kong,HKG,2008,0.46388924807906157
Hong Kong,HKG,2009,0.49166705470180516
Hong Kong,HKG,2010,0.43611147457003596
Hong Kong,HKG,2011,0.44444480662274366
Hong Kong,HKG,2012,0.4194447773509026
Hong Kong,HKG,2013,0.40277811324548723
Hong Kong,HKG,2014,0.391666970728159
Hong Kong,HKG,2015,0.4138892226490975
Hong Kong,HKG,2016,0.416667
Hong Kong,HKG,2017,0.3638891641054154
Hong Kong,HKG,2018,0.3638891641054154
Hong Kong,HKG,2019,0.36666697457003594
India,IND,2000,1.7833347811927798
India,IND,2001,1.7277791017198565
India,IND,2002,1.711112437614441
India,IND,2003,1.6222235623855592
India,IND,2004,1.591667945298195
India,IND,2005,1.5333345547018054
India,IND,2006,1.497223382912636
India,IND,2007,1.4750011641054155
India,IND,2008,1.5083344923162463
India,IND,2009,1.5277790000000002
India,IND,2010,1.4833345623855592
India,IND,2011,1.4666678982801438
India,IND,2012,1.4694456094036104
India,IND,2013,1.4194456170873644
India,IND,2014,1.4111122188072205
India,IND,2015,1.338890007683754
India,IND,2016,1.2611121094036104
India,IND,2017,1.2416676017198565
India,IND,2018,1.2222232264909745
India,IND,2019,1.188889898280144
Indonesia,IDN,2000,1.5055567811927797
Indonesia,IDN,2001,1.4833345623855592
Indonesia,IDN,2002,1.472223452981949
Indonesia,IDN,2003,1.4083345076837541
Indonesia,IDN,2004,1.4277788829126359
Indonesia,IDN,2005,1.3722233358945848
Indonesia,IDN,2006,1.3305566094036103
Indonesia,IDN,2007,1.244445445298195
Indonesia,IDN,2008,1.194445452981949
Indonesia,IDN,2009,1.205556562385559
Indonesia,IDN,2010,1.16944539059639
Indonesia,IDN,2011,1.1222231094036104
Indonesia,IDN,2012,1.0527786094036102
Indonesia,IDN,2013,0.9638896679472924
Indonesia,IDN,2014,0.9555563358945848
Indonesia,IDN,2015,0.9055562773509026
Indonesia,IDN,2016,0.8861118358945848
Indonesia,IDN,2017,0.8888896132454873
Indonesia,IDN,2018,0.8861118358945848
Indonesia,IDN,2019,0.8777785038418771
Japan,JPN,2000,1.327778898280144
Japan,JPN,2001,1.3027788358945849
Japan,JPN,2002,1.3055565470180512
Japan,JPN,2003,1.2777787735090256
Japan,JPN,2004,1.2916677264909746
Japan,JPN,2005,1.263889952981949
Japan,JPN,2006,1.244445445298195
Japan,JPN,2007,1.2138898282108308
Japan,JPN,2008,1.1833343435783388
Japan,JPN,2009,1.194445452981949
Japan,JPN,2010,1.2083342735090257
Japan,JPN,2011,1.1194453982801438
Japan,JPN,2012,1.0805564491400719
Japan,JPN,2013,1.061111941456318
Japan,JPN,2014,1.0250008358945848
Japan,JPN,2015,0.9972229961581232
Japan,JPN,2016,0.9833341094036103
Japan,JPN,2017,0.9722230000000001
Japan,JPN,2018,0.9583341132454873
Japan,JPN,2019,0.9250007188072206
Laos,LAO,2000,1.0527786094036102
Laos,LAO,2001,1.0388897226490976
Laos,LAO,2002,1.0083341717891694
Laos,LAO,2003,0.9833341094036103
Laos,LAO,2004,0.9555563358945848
Laos,LAO,2005,0.922222941456318
Laos,LAO,2006,0.9416674491400719
Laos,LAO,2007,0.9416674491400719
Laos,LAO,2008,0.9750007773509026
Laos,LAO,2009,0.9638896679472924
Laos,LAO,2010,0.9194451641054154
Laos,LAO,2011,0.8638895508599282
Laos,LAO,2012,0.8138895585436822
Laos,LAO,2013,0.827778445298195
Laos,LAO,2014,0.8138895585436822
Laos,LAO,2015,1.0638897188072205
Laos,LAO,2016,1.3194455
Laos,LAO,2017,1.3611122264909745
Laos,LAO,2018,1.3055565470180512
Laos,LAO,2019,1.2083342735090257
Macao,MAC,2000,0.30000025192093854
Macao,MAC,2001,0.31111136132454875
Macao,MAC,2002,0.2611113193377257
Macao,MAC,2003,0.25000019337725643
Macao,MAC,2004,0.21944462596046926
Macao,MAC,2005,0.21944462596046926
Macao,MAC,2006,0.1888890419868231
Macao,MAC,2007,0.16111123536407948
Macao,MAC,2008,0.15555568066227438
Macao,MAC,2009,0.2083335
Macao,MAC,2010,0.14166677735090258
Macao,MAC,2011,0.12222231933772565
Macao,MAC,2012,0.11111120165568592
Macao,MAC,2013,0.0972222983443141
Macao,MAC,2014,0.11666675635749103
Macao,MAC,2015,0.16388901271498205
Macao,MAC,2016,0.16944458397364617
Macao,MAC,2017,0.16388901271498205
Macao,MAC,2018,0.13055565966886284
Macao,MAC,2019,0.138889
Malaysia,MYS,2000,1.522223445298195
Malaysia,MYS,2001,1.5750012811927796
